,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
68,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed
69,0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
70,2,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,well payed
71,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed
72,0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
73,0,5-7 years,5-7 years,Some college,Woman,Industry,bad payed
74,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
75,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
76,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
77,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
78,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
79,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed
80,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
81,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
82,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
83,3,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed
84,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
85,1,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,well payed
86,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
87,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
88,0,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,bad payed
89,1,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,very well payed
91,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed
92,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
93,1,5-7 years,5-7 years,Some college,Man,Public & Government,bad payed
94,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,well payed
95,1,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed
96,0,5-7 years,1 year or less,Master's degree,Woman,Education,well payed
97,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
98,1,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,well payed
99,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
100,0,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
101,1,8 - 10 years,5-7 years,College degree,Man,Public & Government,bad payed
102,0,31 - 40 years,21 - 30 years,Some college,Woman,Education,bad payed
104,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed
105,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,very well payed
106,3,5-7 years,5-7 years,College degree,Woman,Health,well payed
107,0,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed
108,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
109,2,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed
110,0,21 - 30 years,11 - 20 years,PhD,Man,Education,well payed
111,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed
112,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
113,1,5-7 years,2 - 4 years,High School,Man,Technology & Science,well payed
114,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed
115,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,very well payed
116,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
117,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
118,0,2 - 4 years,2 - 4 years,PhD,Woman,Education,very well payed
119,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
120,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed
121,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed
122,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
123,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
124,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
125,2,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
126,3,31 - 40 years,31 - 40 years,College degree,Woman,Other,bad payed
127,3,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed
128,3,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
129,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed
130,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
131,1,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
132,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed
133,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,bad payed
134,3,5-7 years,5-7 years,College degree,Woman,Consulting,well payed
136,0,5-7 years,5-7 years,Master's degree,Woman,Culture,well payed
137,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
138,0,11 - 20 years,8 - 10 years,Master's degree,Man,Other,well payed
139,0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed
140,1,5-7 years,2 - 4 years,College degree,Non-binary,Health,bad payed
141,0,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,bad payed
142,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
143,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
144,0,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,well payed
145,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
147,0,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed
148,3,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
149,0,2 - 4 years,1 year or less,Master's degree,Man,Other,bad payed
150,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed
151,1,21 - 30 years,8 - 10 years,College degree,Man,Other,well payed
152,0,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,well payed
153,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
154,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed
155,3,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed
156,2,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,bad payed
157,3,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,very well payed
158,3,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed
159,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,bad payed
160,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed
161,3,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
162,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
163,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
164,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
165,1,5-7 years,2 - 4 years,College degree,Man,Industry,well payed
166,3,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed
167,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
168,1,5-7 years,5-7 years,College degree,Man,Industry,well payed
169,2,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,well payed
170,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
171,3,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,very well payed
173,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
174,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,very well payed
176,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
177,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed
179,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
180,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
181,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
183,0,2 - 4 years,1 year or less,Master's degree,Woman,Health,well payed
185,1,8 - 10 years,5-7 years,College degree,Man,Other,bad payed
188,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
190,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
191,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed
192,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
193,3,5-7 years,5-7 years,College degree,Woman,Industry,bad payed
194,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
195,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
196,3,8 - 10 years,5-7 years,College degree,Woman,Health,well payed
197,2,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed
198,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed
199,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
200,0,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,bad payed
201,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
202,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
203,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed
204,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
205,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
206,3,11 - 20 years,5-7 years,College degree,Woman,Health,well payed
208,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,very well payed
209,0,11 - 20 years,5-7 years,Some college,Woman,Other,bad payed
211,3,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed
212,3,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed
213,3,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed
214,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,very well payed
215,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
216,0,21 - 30 years,11 - 20 years,Master's degree,Man,Education,well payed
217,3,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
218,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed
220,3,5-7 years,5-7 years,College degree,Woman,Industry,bad payed
221,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
222,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
223,0,11 - 20 years,5-7 years,Master's degree,Woman,Health,bad payed
224,3,5-7 years,5-7 years,College degree,Woman,Other,bad payed
225,1,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,bad payed
226,2,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
227,3,1 year or less,1 year or less,College degree,Woman,Consulting,bad payed
228,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
229,0,5-7 years,5-7 years,College degree,Non-binary,Education,well payed
230,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
232,0,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed
233,1,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,very well payed
234,0,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
235,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
236,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
237,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed
239,3,8 - 10 years,2 - 4 years,College degree,Woman,Other,well payed
240,0,5-7 years,5-7 years,Master's degree,Woman,Law,very well payed
242,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
243,3,8 - 10 years,2 - 4 years,College degree,Woman,Health,bad payed
245,3,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,bad payed
246,0,5-7 years,2 - 4 years,PhD,Woman,Health,very well payed
247,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
248,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,well payed
249,2,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,bad payed
250,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
251,0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,bad payed
253,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
254,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
255,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
256,2,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
257,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
259,3,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,bad payed
260,0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
261,1,11 - 20 years,11 - 20 years,Some college,Man,Industry,well payed
263,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
264,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed
265,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
266,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed
267,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
268,1,21 - 30 years,21 - 30 years,College degree,Man,Advertising,well payed
269,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed
270,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
271,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed
272,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
273,2,11 - 20 years,5-7 years,PhD,Woman,Public & Government,well payed
274,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
275,0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,bad payed
276,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
277,0,31 - 40 years,21 - 30 years,Some college,Woman,Other,well payed
278,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
279,0,5-7 years,5-7 years,Master's degree,Non-binary,Education,bad payed
281,0,21 - 30 years,21 - 30 years,High School,Woman,Industry,well payed
282,0,8 - 10 years,5-7 years,Some college,Woman,Industry,bad payed
283,1,21 - 30 years,21 - 30 years,College degree,Man,Industry,bad payed
284,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed
285,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,very well payed
287,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
288,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
289,1,5-7 years,5-7 years,College degree,Man,Banking & Insurance,well payed
290,3,21 - 30 years,8 - 10 years,College degree,Woman,Health,very well payed
291,2,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
292,3,8 - 10 years,5-7 years,College degree,Woman,Unidentified,well payed
293,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed
294,0,5-7 years,2 - 4 years,Master's degree,Man,Other,bad payed
295,2,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
296,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
297,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed
298,0,8 - 10 years,5-7 years,College degree,Woman,Education,well payed
299,0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,well payed
300,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
301,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
302,2,8 - 10 years,5-7 years,Some college,Woman,Public & Government,well payed
303,3,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,bad payed
304,2,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
306,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed
308,2,5-7 years,1 year or less,College degree,Woman,Public & Government,well payed
310,3,21 - 30 years,11 - 20 years,College degree,Woman,Industry,well payed
311,2,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
312,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,well payed
313,0,41 years or more,31 - 40 years,Master's degree,Woman,Health,well payed
314,3,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
316,0,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed
317,0,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Technology & Science,very well payed
318,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
319,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed
320,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
321,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
322,1,21 - 30 years,21 - 30 years,College degree,Man,Industry,very well payed
323,0,2 - 4 years,2 - 4 years,PhD,Woman,Non profit Organization,well payed
324,0,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed
325,0,11 - 20 years,2 - 4 years,Master's degree,Man,Non profit Organization,bad payed
326,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
327,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,bad payed
328,2,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
329,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
330,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,bad payed
332,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
333,3,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed
334,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
335,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
336,3,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
337,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed
338,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed
339,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
340,3,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
341,3,5-7 years,1 year or less,College degree,Woman,Advertising,well payed
344,3,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
346,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
347,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
349,3,11 - 20 years,8 - 10 years,PhD,Woman,Technology & Science,very well payed
350,3,21 - 30 years,5-7 years,College degree,Woman,Advertising,well payed
351,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
352,0,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Technology & Science,well payed
353,3,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed
354,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
355,2,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,very well payed
356,3,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed
357,0,5-7 years,5-7 years,PhD,Woman,Health,very well payed
358,3,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed
359,1,31 - 40 years,31 - 40 years,College degree,Man,Banking & Insurance,very well payed
360,0,21 - 30 years,11 - 20 years,Some college,Woman,Unidentified,bad payed
361,3,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed
362,1,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,bad payed
363,3,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed
364,3,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed
365,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed
366,0,8 - 10 years,2 - 4 years,Master's degree,Man,Industry,well payed
367,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Consulting,well payed
368,3,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,very well payed
369,3,5-7 years,5-7 years,College degree,Woman,Other,well payed
370,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
371,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
372,1,8 - 10 years,8 - 10 years,College degree,Man,Non profit Organization,well payed
373,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
374,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
375,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
376,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
377,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
378,2,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,bad payed
379,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
380,1,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
381,0,8 - 10 years,5-7 years,Master's degree,Woman,Consulting,very well payed
382,3,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed
383,0,8 - 10 years,5-7 years,Some college,Woman,Health,bad payed
384,0,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,bad payed
385,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
386,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
387,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,bad payed
388,0,11 - 20 years,2 - 4 years,High School,Woman,Law,bad payed
389,2,2 - 4 years,1 year or less,College degree,Woman,Public & Government,bad payed
390,2,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
391,3,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
392,3,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
393,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
394,0,2 - 4 years,5-7 years,PhD,Woman,Education,bad payed
395,3,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
396,3,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
397,3,8 - 10 years,5-7 years,College degree,Woman,Law,well payed
398,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
399,0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
400,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed
401,2,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,very well payed
402,0,5-7 years,5-7 years,Master's degree,Woman,Consulting,well payed
403,0,11 - 20 years,5-7 years,Master's degree,Woman,Other,bad payed
404,0,11 - 20 years,11 - 20 years,PhD,Woman,Health,very well payed
405,0,8 - 10 years,8 - 10 years,PhD,Woman,Industry,well payed
407,3,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,very well payed
408,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,very well payed
409,0,21 - 30 years,5-7 years,Master's degree,Woman,Unidentified,well payed
