,cluster,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,harmonized_salary,adjusted_annual_salary
131,1,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,well payed,130000.0,2.0918616925413867
132,3,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed,55000.0,0.8850184083828944
133,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,bad payed,59015.0,0.9496247521948457
134,5,25-34,5-7 years,5-7 years,College degree,Woman,Consulting,well payed,71000.0,1.1424783090033728
136,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Culture,well payed,63000.0,1.0137483586931335
137,1,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed,95000.0,1.5286681599340903
138,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Other,well payed,60350.0,1.1672120747944081
139,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed,35000.0,0.5631935326072964
140,2,18-24,5-7 years,2 - 4 years,College degree,Non-binary,Health,bad payed,33280.0,0.535516593290595
141,1,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,bad payed,56000.0,0.9011096521716743
142,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,85000.0,1.3677557220462913
143,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,62000.0,0.9976571149043537
144,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,well payed,74000.0,1.1907520403697125
145,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,63000.0,1.0137483586931335
147,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed,19080.0,0.7241756239752232
148,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,86000.0,1.3838469658350712
149,0,18-24,2 - 4 years,1 year or less,Master's degree,Man,Other,bad payed,23940.0,0.6241006068948258
150,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed,42000.0,0.6758322391287557
151,0,55-64,21 - 30 years,8 - 10 years,College degree,Man,Other,well payed,114000.0,1.8344017919209084
152,1,45-54,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,well payed,73000.0,1.1746607965809326
153,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,68040.0,1.7737596195958207
154,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed,100000.0,1.6091243788779899
155,5,25-34,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed,34020.0,0.8868798097979104
156,0,18-24,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,bad payed,60129.0,0.9675503977755465
157,0,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,well payed,135000.0,2.1723179114852864
158,4,25-34,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,well payed,130000.0,2.0918616925413867
159,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,bad payed,26000.0,0.4183723385082773
160,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed,60000.0,0.9654746273267939
161,5,35-44,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,37000.0,0.5953760201848562
162,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,well payed,85000.0,1.3677557220462913
163,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,45000.0,0.7241059704950954
164,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,92000.0,1.4803944285677506
165,2,25-34,5-7 years,2 - 4 years,College degree,Man,Industry,well payed,65000.0,1.0459308462706933
166,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed,35000.0,0.5631935326072964
167,5,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,74000.0,1.1907520403697125
168,5,25-34,5-7 years,5-7 years,College degree,Man,Industry,well payed,102500.0,1.6493524883499395
169,0,25-34,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,well payed,117500.0,1.890721145181638
170,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,70000.0,1.1263870652145929
171,0,45-54,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,well payed,140000.0,2.2527741304291857
173,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed,61200.0,0.9847841198733297
174,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,107100.0,2.7920290308452733
176,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,70000.0,1.1263870652145929
177,5,25-34,5-7 years,5-7 years,College degree,Woman,Education,bad payed,52000.0,0.8367446770165546
179,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed,57000.0,0.9172008959604542
180,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,83200.0,1.3387914832264876
181,2,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,77500.0,1.247071393630442
183,0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Health,well payed,39060.0,1.0182694112494526
185,5,25-34,8 - 10 years,5-7 years,College degree,Man,Other,bad payed,55000.0,0.8850184083828944
188,0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,80000.0,1.287299503102392
190,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,52500.0,0.8447902989109446
191,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed,38160.0,1.003787878787879
192,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,94000.0,1.5125769161453104
193,5,25-34,5-7 years,5-7 years,College degree,Woman,Industry,bad payed,57000.0,0.9172008959604542
194,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,83000.0,1.3355732344687314
195,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,90000.0,1.4482119409901908
196,1,35-44,8 - 10 years,5-7 years,College degree,Woman,Health,well payed,66950.0,1.0773087716588141
197,2,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed,76000.0,1.2229345279472723
198,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,65520.0,1.7080648188700496
199,5,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,70000.0,1.1263870652145929
200,2,25-34,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,bad payed,60000.0,0.9654746273267939
201,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,80000.0,1.287299503102392
202,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,70000.0,1.1263870652145929
203,0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed,34299.0,0.5519135707113617
204,0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,113400.0,2.956266032659701
205,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,50000.0,0.8045621894389949
206,1,35-44,11 - 20 years,5-7 years,College degree,Woman,Health,well payed,85000.0,1.3677557220462913
208,3,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,well payed,125000.0,2.0114054735974873
209,1,35-44,11 - 20 years,5-7 years,Some college,Woman,Other,bad payed,55000.0,0.8850184083828944
211,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed,48500.0,0.7804253237558251
212,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,well payed,139000.0,2.2366828866404056
213,1,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed,54080.0,0.8702144640972169
214,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,well payed,170000.0,2.7355114440925825
215,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,47400.0,1.1292166952544311
216,3,45-54,21 - 30 years,11 - 20 years,Master's degree,Man,Education,well payed,70000.0,1.1263870652145929
217,2,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,53000.0,0.8528359208053345
218,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,82160.0,1.3220565896861565
220,5,18-24,5-7 years,5-7 years,College degree,Woman,Industry,bad payed,25700.0,0.41354496537164337
221,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed,105000.0,1.6895805978218892
222,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,77000.0,1.2390257717360522
223,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Health,bad payed,50000.0,0.8045621894389949
224,5,25-34,5-7 years,5-7 years,College degree,Woman,Other,bad payed,31773.42,0.8283128949508853
225,2,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,bad payed,31616.0,0.5087407636260652
226,0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,95000.0,1.5286681599340903
227,1,18-24,1 year or less,1 year or less,College degree,Woman,Consulting,bad payed,62000.0,0.9976571149043537
228,1,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed,75000.0,1.2068432841584924
229,5,25-34,5-7 years,5-7 years,College degree,Non-binary,Education,well payed,71000.0,1.1424783090033728
230,0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,88000.0,1.416029453412631
232,2,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed,76000.0,1.2229345279472723
233,1,35-44,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,well payed,165000.0,2.655055225148683
234,2,25-34,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed,45760.0,0.7363353157745681
235,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,86000.0,1.3838469658350712
236,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed,61809.600000000006,1.4724985706117784
237,0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed,56000.0,0.9011096521716743
239,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Other,well payed,67000.0,1.0781133338482531
240,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Law,well payed,125000.0,2.0114054735974873
242,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed,125000.0,2.0114054735974873
243,2,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Health,bad payed,60000.0,0.9654746273267939
245,0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,bad payed,60320.0,0.9706238253392034
246,2,35-44,5-7 years,2 - 4 years,PhD,Woman,Health,well payed,125000.0,2.0114054735974873
247,3,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,94000.0,1.5125769161453104
248,2,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,well payed,77420.0,1.8443872689155707
249,1,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,bad payed,49000.0,0.788470945650215
250,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,120000.0,1.9309492546535878
251,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,bad payed,28000.0,0.45055482608583713
253,1,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed,40575.0,0.6529022167297444
254,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,75500.0,1.2148889060528822
255,5,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,115000.0,1.8504930357096883
256,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,70000.0,1.1263870652145929
257,4,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,110000.0,1.7700368167657887
259,1,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,bad payed,61000.0,0.9815658711155738
260,5,55-64,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,47250.0,0.7603112690198501
261,1,35-44,11 - 20 years,11 - 20 years,Some college,Man,Industry,well payed,96000.0,1.5447594037228702
263,1,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,45000.0,0.7241059704950954
264,0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed,72000.0,1.1585695527921527
265,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed,78167.0,1.2578042532375582
266,0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,well payed,132500.0,2.1320898020133363
267,0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed,124000.0,1.9953142298087074
268,1,45-54,21 - 30 years,21 - 30 years,College degree,Man,Advertising,well payed,108000.0,1.737854329188229
269,1,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,110000.0,1.7700368167657887
270,3,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed,83000.0,1.3355732344687314
271,0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,110000.0,1.7700368167657887
272,0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,45000.0,0.7241059704950954
273,5,25-34,11 - 20 years,5-7 years,PhD,Woman,Public & Government,well payed,91000.0,1.4643031847789707
274,3,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,117000.0,1.882675523287248
275,1,45-54,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,bad payed,59000.0,0.949383383538014
276,3,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed,71697.0,1.1536939059241524
277,0,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Other,well payed,90000.0,1.4482119409901908
