,how_old_are_you,adjusted_annual_salary,annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,harmonized_salary
53,35-44,1.1585695527921527,72000.0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,72000.0
54,35-44,0.9786544692205069,52000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,41080.0
55,35-44,1.705671841610669,106000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,106000.0
56,25-34,1.8504930357096883,115000.0,5-7 years,5-7 years,PhD,Woman,Public & Government,115000.0
57,25-34,1.6171700007723797,100500.0,11 - 20 years,5-7 years,College degree,Woman,Consulting,100500.0
58,25-34,0.5342292937874926,33200.0,8 - 10 years,2 - 4 years,Some college,Woman,Law,33200.0
59,35-44,1.7080648188700496,52000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,65520.0
60,25-34,0.8367446770165546,52000.0,8 - 10 years,8 - 10 years,College degree,Woman,Education,52000.0
61,25-34,1.486801982085001,79000.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,62410.0
63,25-34,1.411520869068039,75000.0,5-7 years,2 - 4 years,College degree,Woman,Education,59250.0
64,18-24,0.8367446770165546,52000.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,52000.0
65,25-34,1.1263870652145929,70000.0,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,70000.0
66,25-34,1.3516644782575113,84000.0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,84000.0
67,35-44,0.8528359208053345,53000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,53000.0
68,25-34,0.5471022888185165,34000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,34000.0
69,25-34,0.6114672639736362,38000.0,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,38000.0
70,25-34,1.399938209623851,87000.0,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,87000.0
71,35-44,1.9631317422311476,122000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,122000.0
72,25-34,1.4781330163298505,45000.0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,56700.0
73,25-34,0.7241059704950954,45000.0,5-7 years,5-7 years,Some college,Woman,Industry,45000.0
74,35-44,1.416029453412631,88000.0,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,88000.0
75,35-44,1.1424783090033728,71000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,71000.0
76,45-54,1.1424783090033728,71000.0,11 - 20 years,11 - 20 years,PhD,Woman,Education,71000.0
77,35-44,1.2068432841584924,75000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,75000.0
78,35-44,1.287299503102392,80000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,80000.0
79,35-44,2.0114054735974873,125000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,125000.0
80,35-44,1.0459308462706933,65000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,65000.0
81,45-54,1.1825064130638805,36000.0,21 - 30 years,21 - 30 years,College degree,Woman,Education,45360.0
82,25-34,0.8850184083828944,55000.0,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,55000.0
83,25-34,1.4482119409901908,90000.0,11 - 20 years,8 - 10 years,College degree,Woman,Culture,90000.0
84,35-44,1.6895805978218892,105000.0,8 - 10 years,5-7 years,College degree,Woman,Industry,105000.0
85,35-44,1.1292166952544311,60000.0,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,47400.0
86,35-44,1.0459308462706933,65000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,65000.0
87,25-34,1.3677557220462913,85000.0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,85000.0
88,25-34,0.6359259545325816,39520.0,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,39520.0
89,45-54,2.1643319992376595,115000.0,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,90850.0
91,55-64,2.8964238819803816,180000.0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,180000.0
92,25-34,1.4482119409901908,90000.0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,90000.0
93,25-34,0.6339548270036914,19300.0,5-7 years,5-7 years,Some college,Man,Public & Government,24318.0
94,55-64,1.0459308462706933,65000.0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,65000.0
95,45-54,1.5796130377693676,98166.0,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,98166.0
96,25-34,1.0217939805875236,63500.0,5-7 years,1 year or less,Master's degree,Woman,Education,63500.0
97,25-34,0.7675523287248012,47700.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,47700.0
98,55-64,1.399938209623851,87000.0,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,87000.0
99,35-44,0.9033733562035449,48000.0,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,37920.0
100,25-34,0.6377764475682912,39635.0,2 - 4 years,2 - 4 years,College degree,Woman,Education,39635.0
101,25-34,0.8528359208053345,53000.0,8 - 10 years,5-7 years,College degree,Man,Public & Government,53000.0
102,45-54,0.7603917252387941,47255.0,31 - 40 years,21 - 30 years,Some college,Woman,Education,47255.0
104,45-54,0.5529112278262661,34361.0,21 - 30 years,11 - 20 years,College degree,Woman,Health,34361.0
105,45-54,2.413686568316985,150000.0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,150000.0
106,25-34,1.2068432841584924,75000.0,5-7 years,5-7 years,College degree,Woman,Health,75000.0
107,35-44,0.321824875775598,20000.0,5-7 years,2 - 4 years,College degree,Woman,Education,20000.0
108,25-34,1.7253031590329806,107220.0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,107220.0
109,35-44,1.4679817038307605,78000.0,11 - 20 years,5-7 years,College degree,Woman,Public & Government,61620.0
110,45-54,1.5286681599340903,95000.0,21 - 30 years,11 - 20 years,PhD,Man,Education,95000.0
111,45-54,0.6758322391287557,42000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,42000.0
112,25-34,1.6091243788779899,100000.0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,100000.0
113,25-34,1.6423700181442784,50000.0,5-7 years,2 - 4 years,High School,Man,Technology & Science,63000.0
114,35-44,1.914858010864808,119000.0,11 - 20 years,8 - 10 years,College degree,Woman,Education,119000.0
115,45-54,2.1679284239504475,66000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,83160.0
116,35-44,1.293471629042099,60000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,63600.0
117,25-34,1.2068432841584924,75000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,75000.0
118,35-44,2.333230349373085,145000.0,2 - 4 years,2 - 4 years,PhD,Woman,Education,145000.0
119,25-34,1.7879264341528494,95000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,75050.0
120,25-34,0.7723797018614351,48000.0,5-7 years,5-7 years,Master's degree,Woman,Advertising,48000.0
121,45-54,1.2068432841584924,75000.0,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,75000.0
122,35-44,0.6758322391287557,42000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,42000.0
123,35-44,0.8689271645941145,54000.0,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,54000.0
124,35-44,1.7314655993901278,92000.0,5-7 years,5-7 years,PhD,Woman,Education,72680.0
125,45-54,1.6709472564599888,50870.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,64096.2
126,55-64,0.9654746273267939,60000.0,31 - 40 years,31 - 40 years,College degree,Woman,Other,60000.0
127,55-64,1.6332612445611596,101500.0,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,101500.0
128,25-34,0.593493344661569,36883.0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,36883.0
129,25-34,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,85000.0
130,25-34,0.9976571149043537,62000.0,5-7 years,5-7 years,College degree,Woman,Education,62000.0
131,35-44,2.0918616925413867,130000.0,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,130000.0
132,55-64,0.8850184083828944,55000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,55000.0
133,25-34,0.9496247521948457,59015.0,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,59015.0
134,25-34,1.1424783090033728,71000.0,5-7 years,5-7 years,College degree,Woman,Consulting,71000.0
136,25-34,1.0137483586931335,63000.0,5-7 years,5-7 years,Master's degree,Woman,Culture,63000.0
137,35-44,1.5286681599340903,95000.0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,95000.0
138,35-44,1.1672120747944081,85000.0,11 - 20 years,8 - 10 years,Master's degree,Man,Other,60350.0
139,35-44,0.5631935326072964,35000.0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,35000.0
140,18-24,0.535516593290595,33280.0,5-7 years,2 - 4 years,College degree,Non-binary,Health,33280.0
141,35-44,0.9011096521716743,56000.0,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,56000.0
142,35-44,1.3677557220462913,85000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,85000.0
143,35-44,0.9976571149043537,62000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,62000.0
144,25-34,1.1907520403697125,74000.0,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,74000.0
145,25-34,1.0137483586931335,63000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,63000.0
147,25-34,0.7241756239752232,18000.0,8 - 10 years,5-7 years,College degree,Woman,Education,19080.0
148,35-44,1.3838469658350712,86000.0,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,86000.0
149,18-24,0.6241006068948258,19000.0,2 - 4 years,1 year or less,Master's degree,Man,Other,23940.0
150,35-44,0.6758322391287557,42000.0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,42000.0
151,55-64,1.8344017919209084,114000.0,21 - 30 years,8 - 10 years,College degree,Man,Other,114000.0
152,45-54,1.1746607965809326,73000.0,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,73000.0
153,35-44,1.7737596195958207,54000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,68040.0
154,45-54,1.6091243788779899,100000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,100000.0
155,25-34,0.8868798097979104,27000.0,11 - 20 years,5-7 years,College degree,Woman,Culture,34020.0
156,18-24,0.9675503977755465,60129.0,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,60129.0
157,45-54,2.1723179114852864,135000.0,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,135000.0
158,25-34,2.0918616925413867,130000.0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,130000.0
159,25-34,0.4183723385082773,26000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,26000.0
160,25-34,0.9654746273267939,60000.0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,60000.0
161,35-44,0.5953760201848562,37000.0,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,37000.0
162,25-34,1.3677557220462913,85000.0,5-7 years,5-7 years,College degree,Woman,Industry,85000.0
163,35-44,0.7241059704950954,45000.0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,45000.0
164,25-34,1.4803944285677506,92000.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,92000.0
165,25-34,1.0459308462706933,65000.0,5-7 years,2 - 4 years,College degree,Man,Industry,65000.0
166,35-44,0.5631935326072964,35000.0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,35000.0
167,25-34,1.1907520403697125,74000.0,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,74000.0
168,25-34,1.6493524883499395,102500.0,5-7 years,5-7 years,College degree,Man,Industry,102500.0
169,25-34,1.890721145181638,117500.0,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,117500.0
170,35-44,1.1263870652145929,70000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,70000.0
171,45-54,2.2527741304291857,140000.0,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,140000.0
173,35-44,0.9847841198733297,61200.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,61200.0
174,25-34,2.7920290308452733,85000.0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,107100.0
176,35-44,1.1263870652145929,70000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,70000.0
177,25-34,0.8367446770165546,52000.0,5-7 years,5-7 years,College degree,Woman,Education,52000.0
179,25-34,0.9172008959604542,57000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,57000.0
180,25-34,1.3387914832264876,83200.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,83200.0
181,18-24,1.247071393630442,77500.0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,77500.0
183,25-34,1.0182694112494526,31000.0,2 - 4 years,1 year or less,Master's degree,Woman,Health,39060.0
185,25-34,0.8850184083828944,55000.0,8 - 10 years,5-7 years,College degree,Man,Other,55000.0
188,25-34,1.287299503102392,80000.0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,80000.0
190,25-34,0.8447902989109446,52500.0,5-7 years,5-7 years,Master's degree,Woman,Education,52500.0
191,25-34,1.003787878787879,36000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,38160.0
192,25-34,1.5125769161453104,94000.0,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,94000.0
193,25-34,0.9172008959604542,57000.0,5-7 years,5-7 years,College degree,Woman,Industry,57000.0
194,35-44,1.3355732344687314,83000.0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,83000.0
195,35-44,1.4482119409901908,90000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,90000.0
196,35-44,1.0773087716588141,66950.0,8 - 10 years,5-7 years,College degree,Woman,Health,66950.0
197,25-34,1.2229345279472723,76000.0,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,76000.0
198,25-34,1.7080648188700496,52000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,65520.0
199,25-34,1.1263870652145929,70000.0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,70000.0
200,25-34,0.9654746273267939,60000.0,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,60000.0
201,35-44,1.287299503102392,80000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,80000.0
202,35-44,1.1263870652145929,70000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,70000.0
203,25-34,0.5519135707113617,34299.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,34299.0
204,25-34,2.956266032659701,90000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,113400.0
205,35-44,0.8045621894389949,50000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,50000.0
206,35-44,1.3677557220462913,85000.0,11 - 20 years,5-7 years,College degree,Woman,Health,85000.0
208,35-44,2.0114054735974873,125000.0,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,125000.0
209,35-44,0.8850184083828944,55000.0,11 - 20 years,5-7 years,Some college,Woman,Other,55000.0
211,25-34,0.7804253237558251,48500.0,5-7 years,2 - 4 years,College degree,Woman,Other,48500.0
212,35-44,2.2366828866404056,139000.0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,139000.0
213,25-34,0.8702144640972169,54080.0,11 - 20 years,11 - 20 years,College degree,Woman,Law,54080.0
214,35-44,2.7355114440925825,170000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,170000.0
215,25-34,1.1292166952544311,60000.0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,47400.0
216,45-54,1.1263870652145929,70000.0,21 - 30 years,11 - 20 years,Master's degree,Man,Education,70000.0
217,25-34,0.8528359208053345,53000.0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,53000.0
218,35-44,1.3220565896861565,82160.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,82160.0
220,18-24,0.41354496537164337,25700.0,5-7 years,5-7 years,College degree,Woman,Industry,25700.0
221,25-34,1.6895805978218892,105000.0,8 - 10 years,8 - 10 years,College degree,Woman,Other,105000.0
222,35-44,1.2390257717360522,77000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,77000.0
223,35-44,0.8045621894389949,50000.0,11 - 20 years,5-7 years,Master's degree,Woman,Health,50000.0
224,25-34,0.8283128949508853,25217.0,5-7 years,5-7 years,College degree,Woman,Other,31773.42
225,25-34,0.5087407636260652,31616.0,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,31616.0
226,35-44,1.5286681599340903,95000.0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,95000.0
227,18-24,0.9976571149043537,62000.0,1 year or less,1 year or less,College degree,Woman,Consulting,62000.0
228,35-44,1.2068432841584924,75000.0,11 - 20 years,8 - 10 years,College degree,Woman,Other,75000.0
229,25-34,1.1424783090033728,71000.0,5-7 years,5-7 years,College degree,Non-binary,Education,71000.0
230,45-54,1.416029453412631,88000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,88000.0
232,25-34,1.2229345279472723,76000.0,5-7 years,2 - 4 years,Master's degree,Woman,Health,76000.0
233,35-44,2.655055225148683,165000.0,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,165000.0
234,25-34,0.7363353157745681,45760.0,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,45760.0
235,25-34,1.3838469658350712,86000.0,5-7 years,5-7 years,College degree,Woman,Advertising,86000.0
236,25-34,1.4724985706117784,78240.0,5-7 years,5-7 years,Master's degree,Woman,Industry,61809.600000000006
237,25-34,0.9011096521716743,56000.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,56000.0
239,25-34,1.0781133338482531,67000.0,8 - 10 years,2 - 4 years,College degree,Woman,Other,67000.0
240,25-34,2.0114054735974873,125000.0,5-7 years,5-7 years,Master's degree,Woman,Law,125000.0
242,35-44,2.0114054735974873,125000.0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,125000.0
243,25-34,0.9654746273267939,60000.0,8 - 10 years,2 - 4 years,College degree,Woman,Health,60000.0
245,45-54,0.9706238253392034,60320.0,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,60320.0
246,35-44,2.0114054735974873,125000.0,5-7 years,2 - 4 years,PhD,Woman,Health,125000.0
247,45-54,1.5125769161453104,94000.0,21 - 30 years,21 - 30 years,PhD,Woman,Education,94000.0
248,25-34,1.8443872689155707,98000.0,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,77420.0
249,35-44,0.788470945650215,49000.0,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,49000.0
250,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,120000.0
251,25-34,0.45055482608583713,28000.0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,28000.0
253,35-44,0.6529022167297444,40575.0,8 - 10 years,8 - 10 years,College degree,Woman,Education,40575.0
254,25-34,1.2148889060528822,75500.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,75500.0
255,25-34,1.8504930357096883,115000.0,5-7 years,5-7 years,College degree,Woman,Advertising,115000.0
256,35-44,1.1263870652145929,70000.0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,70000.0
257,25-34,1.7700368167657887,110000.0,5-7 years,5-7 years,College degree,Woman,Technology & Science,110000.0
259,55-64,0.9815658711155738,61000.0,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,61000.0
260,55-64,0.7603112690198501,47250.0,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,47250.0
261,35-44,1.5447594037228702,96000.0,11 - 20 years,11 - 20 years,Some college,Man,Industry,96000.0
263,35-44,0.7241059704950954,45000.0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,45000.0
264,25-34,1.1585695527921527,72000.0,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,72000.0
265,25-34,1.2578042532375582,78167.0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,78167.0
266,25-34,2.1320898020133363,132500.0,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,132500.0
267,45-54,1.9953142298087074,124000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,124000.0
268,45-54,1.737854329188229,108000.0,21 - 30 years,21 - 30 years,College degree,Man,Advertising,108000.0
269,35-44,1.7700368167657887,110000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,110000.0
270,35-44,1.3355732344687314,83000.0,11 - 20 years,5-7 years,Master's degree,Woman,Education,83000.0
271,25-34,1.7700368167657887,110000.0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,110000.0
272,25-34,0.7241059704950954,45000.0,5-7 years,5-7 years,Master's degree,Woman,Education,45000.0
273,25-34,1.4643031847789707,91000.0,11 - 20 years,5-7 years,PhD,Woman,Public & Government,91000.0
274,35-44,1.882675523287248,117000.0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,117000.0
275,45-54,0.949383383538014,59000.0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,59000.0
276,35-44,1.1536939059241524,71697.0,8 - 10 years,5-7 years,Master's degree,Woman,Education,71697.0
277,45-54,1.4482119409901908,90000.0,31 - 40 years,21 - 30 years,Some college,Woman,Other,90000.0
278,35-44,1.9309492546535878,120000.0,11 - 20 years,11 - 20 years,College degree,Woman,Education,120000.0
279,25-34,0.8367446770165546,52000.0,5-7 years,5-7 years,Master's degree,Non-binary,Education,52000.0
281,35-44,1.287299503102392,80000.0,21 - 30 years,21 - 30 years,High School,Woman,Industry,80000.0
282,25-34,0.9011096521716743,56000.0,8 - 10 years,5-7 years,Some college,Woman,Industry,56000.0
283,45-54,0.7698051028552303,47840.0,21 - 30 years,21 - 30 years,College degree,Man,Industry,47840.0
284,45-54,2.413686568316985,150000.0,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,150000.0
285,45-54,2.413686568316985,150000.0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,150000.0
