,cluster,adjusted_annual_salary,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,harmonized_salary
41,0,1.3060752049052118,11 - 20 years,11 - 20 years,College degree,Advertising,44100.0
42,2,1.0459308462706933,5-7 years,5-7 years,College degree,Public & Government,65000.0
43,0,3.0975644293401303,8 - 10 years,5-7 years,College degree,Technology & Science,187500.0
44,4,2.0918616925413867,8 - 10 years,8 - 10 years,Master's degree,Technology & Science,110000.0
45,0,1.0962159831106306,8 - 10 years,8 - 10 years,College degree,Non profit Organization,66625.0
46,2,2.367021961329523,5-7 years,5-7 years,PhD,Technology & Science,144600.0
47,0,3.875576066527638,11 - 20 years,11 - 20 years,College degree,Technology & Science,200850.0
48,0,2.2941680960548885,11 - 20 years,8 - 10 years,College degree,Industry,94800.0
49,0,2.0732085000952925,8 - 10 years,8 - 10 years,College degree,Retail,77025.0
50,2,1.5447594037228702,5-7 years,5-7 years,PhD,Education,96000.0
51,2,0.8689271645941145,5-7 years,1 year or less,Master's degree,Education,53000.0
52,0,1.6895805978218892,8 - 10 years,8 - 10 years,College degree,Advertising,95000.0
53,0,1.2068432841584924,11 - 20 years,5-7 years,Master's degree,Technology & Science,72000.0
54,0,0.9786544692205069,11 - 20 years,11 - 20 years,College degree,Unidentified,41080.0
55,1,1.705671841610669,21 - 30 years,11 - 20 years,Master's degree,Industry,106000.0
56,2,1.8504930357096883,5-7 years,5-7 years,PhD,Public & Government,115000.0
57,0,1.6654437321387194,11 - 20 years,5-7 years,College degree,Consulting,100500.0
58,3,0.5342292937874926,8 - 10 years,2 - 4 years,Some college,Law,33200.0
59,1,1.7080648188700496,11 - 20 years,11 - 20 years,Master's degree,Public & Government,65520.0
60,0,0.8367446770165546,8 - 10 years,8 - 10 years,College degree,Education,52000.0
61,3,1.486801982085001,8 - 10 years,5-7 years,Master's degree,Public & Government,62410.0
62,0,2.075770448752607,41 years or more,21 - 30 years,College degree,Construction,104000.0
63,2,1.411520869068039,5-7 years,2 - 4 years,College degree,Education,59250.0
64,0,0.8367446770165546,2 - 4 years,2 - 4 years,College degree,Technology & Science,52000.0
65,0,1.1263870652145929,5-7 years,2 - 4 years,Master's degree,Education,70000.0
66,2,1.4868309260832626,5-7 years,5-7 years,Master's degree,Non profit Organization,84000.0
67,1,0.8528359208053345,21 - 30 years,11 - 20 years,Master's degree,Health,53000.0
68,2,0.5792847763960763,5-7 years,5-7 years,College degree,Technology & Science,34000.0
69,3,0.6114672639736362,5-7 years,2 - 4 years,Master's degree,Non profit Organization,38000.0
70,3,1.399938209623851,5-7 years,2 - 4 years,Master's degree,Public & Government,87000.0
71,1,2.0210602198707552,11 - 20 years,11 - 20 years,Master's degree,Other,122000.0
72,3,1.5302717470645897,5-7 years,2 - 4 years,Master's degree,Banking & Insurance,56700.0
73,2,0.7241059704950954,5-7 years,5-7 years,Some college,Industry,45000.0
74,0,1.416029453412631,11 - 20 years,8 - 10 years,College degree,Technology & Science,88000.0
75,0,1.1424783090033728,11 - 20 years,8 - 10 years,Master's degree,Non profit Organization,71000.0
76,1,1.1424783090033728,11 - 20 years,11 - 20 years,PhD,Education,71000.0
77,1,1.2068432841584924,11 - 20 years,11 - 20 years,Master's degree,Education,75000.0
78,4,1.287299503102392,21 - 30 years,11 - 20 years,Master's degree,Education,80000.0
79,0,2.0114054735974873,11 - 20 years,8 - 10 years,Master's degree,Technology & Science,125000.0
80,1,1.0459308462706933,11 - 20 years,11 - 20 years,Master's degree,Education,65000.0
81,2,1.1825064130638805,21 - 30 years,21 - 30 years,College degree,Education,45360.0
82,3,0.8850184083828944,2 - 4 years,2 - 4 years,College degree,Non profit Organization,55000.0
83,0,1.4643031847789707,11 - 20 years,8 - 10 years,College degree,Culture,90000.0
84,2,1.898766767076028,8 - 10 years,5-7 years,College degree,Industry,105000.0
85,1,1.1292166952544311,11 - 20 years,11 - 20 years,High School,Non profit Organization,47400.0
86,1,1.0459308462706933,11 - 20 years,8 - 10 years,Master's degree,Education,65000.0
87,3,1.5045312942509204,5-7 years,2 - 4 years,Master's degree,Consulting,85000.0
88,3,0.6359259545325816,8 - 10 years,2 - 4 years,Some college,Unidentified,39520.0
89,4,2.1643319992376595,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,90850.0
90,2,1.2229345279472723,8 - 10 years,5-7 years,College degree,Energy,76000.0
91,1,3.8618985093071756,31 - 40 years,11 - 20 years,Master's degree,Consulting,180000.0
92,2,1.4482119409901908,5-7 years,5-7 years,Master's degree,Banking & Insurance,90000.0
93,2,0.6339548270036914,5-7 years,5-7 years,Some college,Public & Government,24318.0
94,1,1.1263870652145929,31 - 40 years,11 - 20 years,Master's degree,Consulting,65000.0
95,0,1.5796130377693676,21 - 30 years,21 - 30 years,College degree,Technology & Science,98166.0
96,2,1.0217939805875236,5-7 years,1 year or less,Master's degree,Education,63500.0
97,2,0.7997348163023609,5-7 years,2 - 4 years,College degree,Non profit Organization,47700.0
98,0,1.5286681599340903,31 - 40 years,31 - 40 years,Some college,Technology & Science,87000.0
99,0,0.9033733562035449,8 - 10 years,8 - 10 years,College degree,Unidentified,37920.0
100,2,0.6426842769238691,2 - 4 years,2 - 4 years,College degree,Education,39635.0
101,2,0.8528359208053345,8 - 10 years,5-7 years,College degree,Public & Government,53000.0
102,2,0.7603917252387941,31 - 40 years,21 - 30 years,Some college,Education,47255.0
103,0,3.314796220488659,11 - 20 years,11 - 20 years,College degree,Construction,196000.0
104,1,0.5529112278262661,21 - 30 years,11 - 20 years,College degree,Health,34361.0
105,0,2.7355114440925825,21 - 30 years,21 - 30 years,College degree,Industry,150000.0
106,2,1.2068432841584924,5-7 years,5-7 years,College degree,Health,75000.0
107,2,0.321824875775598,5-7 years,2 - 4 years,College degree,Education,20000.0
108,4,1.9840986328879278,8 - 10 years,5-7 years,Master's degree,Technology & Science,107220.0
109,0,1.4679817038307605,11 - 20 years,5-7 years,College degree,Public & Government,61620.0
110,1,1.6895805978218892,21 - 30 years,11 - 20 years,PhD,Education,95000.0
111,1,0.6758322391287557,21 - 30 years,11 - 20 years,Master's degree,Unidentified,42000.0
112,2,1.6895805978218892,5-7 years,5-7 years,Master's degree,Banking & Insurance,100000.0
113,0,1.6423700181442784,5-7 years,2 - 4 years,High School,Technology & Science,63000.0
114,0,1.9550861203367575,11 - 20 years,8 - 10 years,College degree,Education,119000.0
115,4,2.298275250787295,21 - 30 years,21 - 30 years,Master's degree,Banking & Insurance,83160.0
116,1,1.354484441732764,11 - 20 years,11 - 20 years,Master's degree,Industry,63600.0
117,0,1.2068432841584924,11 - 20 years,11 - 20 years,College degree,Education,75000.0
118,3,2.574599006204784,2 - 4 years,2 - 4 years,PhD,Education,145000.0
119,3,2.0261578044596913,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,75050.0
120,2,0.8045621894389949,5-7 years,5-7 years,Master's degree,Advertising,48000.0
121,0,1.3677557220462913,21 - 30 years,21 - 30 years,College degree,Banking & Insurance,75000.0
122,0,0.6758322391287557,11 - 20 years,11 - 20 years,College degree,Unidentified,42000.0
123,4,0.8705362889729925,21 - 30 years,8 - 10 years,Master's degree,Non profit Organization,54000.0
124,2,1.7314655993901278,5-7 years,5-7 years,PhD,Education,72680.0
125,1,1.6709472564599888,21 - 30 years,11 - 20 years,Master's degree,Public & Government,64096.2
126,0,0.9735202492211839,31 - 40 years,31 - 40 years,College degree,Other,60000.0
127,0,1.6332612445611596,31 - 40 years,21 - 30 years,College degree,Non profit Organization,101500.0
128,0,0.595907031229886,2 - 4 years,2 - 4 years,College degree,Technology & Science,36883.0
129,0,1.3677557220462913,11 - 20 years,11 - 20 years,College degree,Unidentified,85000.0
130,2,0.9976571149043537,5-7 years,5-7 years,College degree,Education,62000.0
131,0,2.0918616925413867,11 - 20 years,11 - 20 years,College degree,Technology & Science,130000.0
132,4,0.8850184083828944,21 - 30 years,21 - 30 years,Master's degree,Education,55000.0
133,0,0.9496247521948457,8 - 10 years,8 - 10 years,College degree,Public & Government,59015.0
134,2,1.1907520403697125,5-7 years,5-7 years,College degree,Consulting,71000.0
135,4,0.8528359208053345,21 - 30 years,8 - 10 years,Master's degree,Social,53000.0
136,2,1.0137483586931335,5-7 years,5-7 years,Master's degree,Culture,63000.0
137,0,1.6091243788779899,21 - 30 years,21 - 30 years,College degree,Industry,95000.0
138,0,1.1672120747944081,11 - 20 years,8 - 10 years,Master's degree,Other,60350.0
139,1,0.6114672639736362,11 - 20 years,11 - 20 years,Some college,Non profit Organization,35000.0
140,2,0.5435622151849849,5-7 years,2 - 4 years,College degree,Health,33280.0
141,0,0.941337761643624,11 - 20 years,8 - 10 years,Some college,Banking & Insurance,56000.0
142,0,1.3677557220462913,11 - 20 years,11 - 20 years,College degree,Education,85000.0
143,0,0.9976571149043537,11 - 20 years,11 - 20 years,College degree,Education,62000.0
144,3,1.1907520403697125,8 - 10 years,2 - 4 years,Master's degree,Law,74000.0
145,2,1.0298396024819134,5-7 years,2 - 4 years,College degree,Non profit Organization,63000.0
146,0,1.7388266700035455,11 - 20 years,8 - 10 years,College degree,Human Ressources,56700.0
147,2,0.7241756239752232,8 - 10 years,5-7 years,College degree,Education,19080.0
148,0,1.4803944285677506,11 - 20 years,8 - 10 years,College degree,Non profit Organization,86000.0
149,3,0.6241006068948258,2 - 4 years,1 year or less,Master's degree,Other,23940.0
150,1,0.6758322391287557,11 - 20 years,11 - 20 years,Master's degree,Education,42000.0
151,0,2.3171391055843054,21 - 30 years,8 - 10 years,College degree,Other,114000.0
152,0,1.1746607965809326,31 - 40 years,31 - 40 years,High School,Banking & Insurance,73000.0
153,0,1.7737596195958207,11 - 20 years,11 - 20 years,College degree,Non profit Organization,68040.0
154,1,1.6091243788779899,21 - 30 years,11 - 20 years,Master's degree,Health,100000.0
155,0,0.8868798097979104,11 - 20 years,5-7 years,College degree,Culture,34020.0
156,3,1.0158241291418861,2 - 4 years,1 year or less,Master's degree,Public & Government,60129.0
157,0,2.1723179114852864,11 - 20 years,11 - 20 years,PhD,Technology & Science,135000.0
158,0,2.0918616925413867,11 - 20 years,5-7 years,College degree,Technology & Science,130000.0
159,3,0.4183723385082773,2 - 4 years,2 - 4 years,Master's degree,Culture,26000.0
160,2,0.9654746273267939,5-7 years,5-7 years,Master's degree,Banking & Insurance,60000.0
161,0,0.5953760201848562,11 - 20 years,5-7 years,College degree,Non profit Organization,37000.0
162,2,1.416029453412631,5-7 years,5-7 years,College degree,Industry,85000.0
163,1,1.0459308462706933,11 - 20 years,11 - 20 years,College degree,Unidentified,45000.0
164,1,1.4803944285677506,8 - 10 years,5-7 years,Master's degree,Non profit Organization,92000.0
165,2,1.110295821425813,5-7 years,2 - 4 years,College degree,Industry,65000.0
166,0,0.5631935326072964,11 - 20 years,11 - 20 years,College degree,Advertising,35000.0
167,2,1.2068432841584924,8 - 10 years,5-7 years,College degree,Banking & Insurance,74000.0
168,2,1.9711773641255375,5-7 years,5-7 years,College degree,Industry,102500.0
169,3,1.914858010864808,8 - 10 years,5-7 years,Master's degree,Public & Government,117500.0
170,0,1.1263870652145929,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,70000.0
171,4,2.333230349373085,21 - 30 years,11 - 20 years,Some college,Technology & Science,140000.0
172,0,0.9976571149043537,11 - 20 years,8 - 10 years,Master's degree,Construction,58000.0
173,1,0.9847841198733297,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,61200.0
174,0,3.0527226845189683,8 - 10 years,8 - 10 years,College degree,Advertising,107100.0
175,3,1.0620220900594732,2 - 4 years,2 - 4 years,College degree,Human Ressources,66000.0
176,0,1.1263870652145929,8 - 10 years,5-7 years,College degree,Technology & Science,70000.0
177,2,0.8367446770165546,5-7 years,5-7 years,College degree,Education,52000.0
178,1,1.2953451249967818,21 - 30 years,11 - 20 years,Some college,Construction,75500.0
179,3,0.9172008959604542,8 - 10 years,2 - 4 years,Master's degree,Advertising,57000.0
180,4,1.3387914832264876,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,83200.0
181,3,1.247071393630442,2 - 4 years,2 - 4 years,College degree,Advertising,77500.0
182,0,0.5020468062099328,11 - 20 years,1 year or less,College degree,Retail,31200.0
183,1,1.0443387766168222,2 - 4 years,1 year or less,Master's degree,Health,39060.0
184,0,3.620529852475477,11 - 20 years,11 - 20 years,College degree,Advertising,215000.0
185,2,0.9252465178548441,8 - 10 years,5-7 years,College degree,Other,55000.0
186,1,3.5400736335315774,11 - 20 years,11 - 20 years,PhD,Law,220000.0
187,0,1.6091243788779899,8 - 10 years,8 - 10 years,College degree,Retail,100000.0
188,4,1.287299503102392,5-7 years,2 - 4 years,Master's degree,Technology & Science,80000.0
189,0,1.0459308462706933,11 - 20 years,8 - 10 years,Unknown,Education,63000.0
190,2,0.8447902989109446,5-7 years,5-7 years,Master's degree,Education,52500.0
191,3,1.003787878787879,2 - 4 years,2 - 4 years,Master's degree,Unidentified,38160.0
192,3,1.5125769161453104,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,94000.0
193,2,0.9172008959604542,5-7 years,5-7 years,College degree,Industry,57000.0
194,0,1.4643031847789707,8 - 10 years,5-7 years,College degree,Technology & Science,83000.0
195,0,1.4482119409901908,11 - 20 years,11 - 20 years,College degree,Non profit Organization,90000.0
196,2,1.0773087716588141,8 - 10 years,5-7 years,College degree,Health,66950.0
197,3,1.2229345279472723,2 - 4 years,2 - 4 years,College degree,Public & Government,76000.0
198,4,1.8644810110742664,8 - 10 years,8 - 10 years,Master's degree,Industry,65520.0
199,0,1.2068432841584924,8 - 10 years,5-7 years,Master's degree,Non profit Organization,70000.0
200,3,1.0057027367987437,2 - 4 years,2 - 4 years,PhD,Education,60000.0
201,1,1.287299503102392,11 - 20 years,11 - 20 years,Master's degree,Industry,80000.0
202,0,1.1263870652145929,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,70000.0
203,3,0.5519135707113617,8 - 10 years,2 - 4 years,Master's degree,Education,34299.0
204,1,2.956266032659701,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,113400.0
205,1,0.8045621894389949,11 - 20 years,11 - 20 years,Master's degree,Education,50000.0
206,0,1.3677557220462913,11 - 20 years,5-7 years,College degree,Health,85000.0
207,3,1.6413068664555497,8 - 10 years,2 - 4 years,High School,Retail,87000.0
208,1,2.0114054735974873,11 - 20 years,2 - 4 years,Master's degree,Law,125000.0
209,0,0.9654746273267939,11 - 20 years,5-7 years,Some college,Other,55000.0
210,1,4.425092041914472,31 - 40 years,31 - 40 years,Master's degree,Law,275000.0
211,2,0.7804253237558251,5-7 years,2 - 4 years,College degree,Other,48500.0
212,0,2.381504080739425,11 - 20 years,11 - 20 years,College degree,Industry,139000.0
213,0,0.8782600859916069,11 - 20 years,11 - 20 years,College degree,Law,54080.0
214,0,3.2182487577559797,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,170000.0
215,0,1.1292166952544311,8 - 10 years,8 - 10 years,College degree,Advertising,47400.0
216,1,1.1424783090033728,21 - 30 years,11 - 20 years,Master's degree,Education,70000.0
217,2,0.8528359208053345,5-7 years,2 - 4 years,College degree,Non profit Organization,53000.0
218,1,1.3220565896861565,11 - 20 years,11 - 20 years,Master's degree,Health,82160.0
219,0,1.1424783090033728,11 - 20 years,2 - 4 years,College degree,Human Ressources,71000.0
220,2,0.41354496537164337,5-7 years,5-7 years,College degree,Industry,25700.0
221,0,1.6895805978218892,8 - 10 years,8 - 10 years,College degree,Other,105000.0
222,1,1.2390257717360522,11 - 20 years,11 - 20 years,Master's degree,Education,77000.0
223,1,0.8045621894389949,11 - 20 years,5-7 years,Master's degree,Health,50000.0
224,2,0.8283128949508853,5-7 years,5-7 years,College degree,Other,31773.42
225,2,0.5087407636260652,5-7 years,2 - 4 years,College degree,Public & Government,31616.0
226,0,1.5608506475116501,11 - 20 years,8 - 10 years,Master's degree,Public & Government,95000.0
227,0,0.9976571149043537,1 year or less,1 year or less,College degree,Consulting,62000.0
228,0,1.3275276125743416,11 - 20 years,8 - 10 years,College degree,Other,75000.0
229,2,1.1424783090033728,5-7 years,5-7 years,College degree,Education,71000.0
230,4,1.416029453412631,21 - 30 years,11 - 20 years,Master's degree,Technology & Science,88000.0
231,0,0.5068741793465668,8 - 10 years,2 - 4 years,College degree,Construction,31500.0
232,1,1.2229345279472723,5-7 years,2 - 4 years,Master's degree,Health,76000.0
233,0,3.13779253881208,21 - 30 years,21 - 30 years,College degree,Health,165000.0
234,0,0.7363353157745681,11 - 20 years,2 - 4 years,Some college,Banking & Insurance,45760.0
235,2,1.3838469658350712,5-7 years,5-7 years,College degree,Advertising,86000.0
236,2,1.4724985706117784,5-7 years,5-7 years,Master's degree,Industry,61809.600000000006
237,2,0.9011096521716743,8 - 10 years,5-7 years,Master's degree,Education,56000.0
238,0,0.7571325783645123,11 - 20 years,8 - 10 years,Unknown,Unidentified,29043.0
239,0,1.110295821425813,8 - 10 years,2 - 4 years,College degree,Other,67000.0
240,2,2.0114054735974873,5-7 years,5-7 years,Master's degree,Law,125000.0
241,2,0.8850184083828944,5-7 years,2 - 4 years,College degree,Construction,55000.0
242,0,2.8159676630364823,11 - 20 years,11 - 20 years,College degree,Technology & Science,125000.0
243,0,0.9654746273267939,8 - 10 years,2 - 4 years,College degree,Health,60000.0
244,1,3.0573363198681807,1 year or less,1 year or less,Master's degree,Law,190000.0
245,4,0.9706238253392034,21 - 30 years,8 - 10 years,Some college,Technology & Science,60320.0
246,1,2.31311629463711,5-7 years,2 - 4 years,PhD,Health,125000.0
247,2,1.5125769161453104,21 - 30 years,21 - 30 years,PhD,Education,94000.0
248,1,1.8443872689155707,8 - 10 years,2 - 4 years,Master's degree,Health,77420.0
249,1,0.788470945650215,11 - 20 years,11 - 20 years,Some college,Public & Government,49000.0
250,0,1.9309492546535878,11 - 20 years,11 - 20 years,College degree,Non profit Organization,120000.0
251,3,0.45055482608583713,2 - 4 years,2 - 4 years,Master's degree,Education,28000.0
252,0,2.1723179114852864,31 - 40 years,31 - 40 years,College degree,Human Ressources,135000.0
253,0,0.6529022167297444,8 - 10 years,8 - 10 years,College degree,Education,40575.0
254,4,1.2148889060528822,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,75500.0
255,2,2.043587961175047,5-7 years,5-7 years,College degree,Advertising,115000.0
256,0,1.1263870652145929,8 - 10 years,5-7 years,Master's degree,Public & Government,70000.0
257,2,1.7925645580700806,5-7 years,5-7 years,College degree,Technology & Science,110000.0
258,0,0.46664606987461704,1 year or less,1 year or less,Some college,Agriculture & Food,29000.0
259,0,0.9815658711155738,31 - 40 years,31 - 40 years,College degree,Advertising,61000.0
260,1,0.7603112690198501,11 - 20 years,5-7 years,Master's degree,Non profit Organization,47250.0
261,1,1.6091243788779899,11 - 20 years,11 - 20 years,Some college,Industry,96000.0
262,4,6.02910420987233,21 - 30 years,11 - 20 years,High School,Technology & Science,275600.0
263,2,0.7241059704950954,11 - 20 years,11 - 20 years,College degree,Non profit Organization,45000.0
264,3,1.1585695527921527,2 - 4 years,2 - 4 years,Master's degree,Other,72000.0
265,2,1.2578042532375582,5-7 years,5-7 years,Master's degree,Public & Government,78167.0
266,0,3.017108210396231,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,132500.0
267,4,1.9953142298087074,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,124000.0
268,0,1.737854329188229,21 - 30 years,21 - 30 years,College degree,Advertising,108000.0
269,1,1.8504930357096883,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,110000.0
270,1,1.3355732344687314,11 - 20 years,5-7 years,Master's degree,Education,83000.0
271,4,1.9953142298087074,8 - 10 years,8 - 10 years,Master's degree,Industry,110000.0
272,2,0.7241059704950954,5-7 years,5-7 years,Master's degree,Education,45000.0
273,0,1.4964856723565305,11 - 20 years,5-7 years,PhD,Public & Government,91000.0
274,1,2.165076851780335,11 - 20 years,11 - 20 years,Master's degree,Industry,117000.0
275,4,1.0620220900594732,21 - 30 years,21 - 30 years,Some college,Banking & Insurance,59000.0
276,2,1.1536939059241524,8 - 10 years,5-7 years,Master's degree,Education,71697.0
277,0,1.59303313508921,31 - 40 years,21 - 30 years,Some college,Other,90000.0
278,0,1.9309492546535878,11 - 20 years,11 - 20 years,College degree,Education,120000.0
279,2,0.8367446770165546,5-7 years,5-7 years,Master's degree,Education,52000.0
280,0,1.157447112635792,8 - 10 years,8 - 10 years,Some college,Construction,48585.0
281,4,1.3677557220462913,21 - 30 years,21 - 30 years,High School,Industry,80000.0
282,2,0.9011096521716743,8 - 10 years,5-7 years,Some college,Industry,56000.0
283,0,0.8019875904327901,21 - 30 years,21 - 30 years,College degree,Industry,47840.0
284,1,2.7355114440925825,21 - 30 years,11 - 20 years,Master's degree,Consulting,150000.0
285,4,2.413686568316985,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,150000.0
286,4,1.7700368167657887,21 - 30 years,21 - 30 years,PhD,Ecology & Environment,105000.0
287,3,1.6895805978218892,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,100000.0
288,1,1.6976262197162792,11 - 20 years,11 - 20 years,Master's degree,Industry,97500.0
289,2,2.413686568316985,5-7 years,5-7 years,College degree,Banking & Insurance,100000.0
290,0,2.0114054735974873,21 - 30 years,8 - 10 years,College degree,Health,125000.0
291,1,1.0137483586931335,11 - 20 years,11 - 20 years,Master's degree,Public & Government,63000.0
292,2,2.9458382865127533,8 - 10 years,5-7 years,College degree,Unidentified,63000.0
293,1,1.287299503102392,11 - 20 years,11 - 20 years,Master's degree,Other,79000.0
294,3,0.8367446770165546,5-7 years,2 - 4 years,Master's degree,Other,52000.0
295,2,1.8022193043433485,5-7 years,5-7 years,Master's degree,Public & Government,109000.0
296,2,1.7737596195958207,21 - 30 years,21 - 30 years,PhD,Education,68040.0
297,4,1.9309492546535878,21 - 30 years,21 - 30 years,Master's degree,Unidentified,120000.0
298,2,1.3340314709378716,8 - 10 years,5-7 years,College degree,Education,51172.38
299,0,1.1650060503076647,11 - 20 years,5-7 years,Master's degree,Culture,70000.0
300,0,1.8102649262377386,11 - 20 years,11 - 20 years,College degree,Technology & Science,110000.0
301,2,1.0915761387459502,5-7 years,2 - 4 years,College degree,Education,45820.0
302,2,1.0915761387459502,8 - 10 years,5-7 years,Some college,Public & Government,45820.0
303,2,0.7241059704950954,1 year or less,1 year or less,College degree,Banking & Insurance,45000.0
304,0,1.2068432841584924,8 - 10 years,8 - 10 years,Master's degree,Public & Government,70000.0
305,2,1.8504930357096883,5-7 years,5-7 years,College degree,Human Ressources,115000.0
306,3,0.5474291790081264,2 - 4 years,2 - 4 years,Master's degree,Industry,34598.4
307,1,0.27355114440925826,11 - 20 years,5-7 years,Master's degree,Agriculture & Food,17000.0
308,2,1.0298396024819134,5-7 years,1 year or less,College degree,Public & Government,64000.0
309,0,1.0620220900594732,31 - 40 years,21 - 30 years,College degree,Construction,66000.0
310,4,1.3516644782575113,21 - 30 years,11 - 20 years,College degree,Industry,80000.0
311,3,1.2551170155248321,5-7 years,2 - 4 years,Master's degree,Public & Government,78000.0
312,3,1.1263870652145929,2 - 4 years,2 - 4 years,Master's degree,Law,65000.0
313,1,1.9309492546535878,41 years or more,31 - 40 years,Master's degree,Health,110000.0
314,0,1.8408382894364204,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,114400.0
315,1,1.7941736824489587,11 - 20 years,11 - 20 years,Master's degree,Human Ressources,111500.0
316,2,0.938119512885868,5-7 years,2 - 4 years,College degree,Education,58300.0
317,4,5.551479107129064,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,156000.0
318,0,2.3010478617955252,11 - 20 years,8 - 10 years,College degree,Technology & Science,130000.0
319,4,1.2068432841584924,8 - 10 years,8 - 10 years,Master's degree,Culture,75000.0
320,0,1.2810486141525372,11 - 20 years,8 - 10 years,Master's degree,Education,49140.0
321,0,2.2688653742179654,11 - 20 years,11 - 20 years,College degree,Technology & Science,126000.0
322,0,2.0677248268582167,21 - 30 years,21 - 30 years,College degree,Industry,125000.0
323,3,1.637364208118925,2 - 4 years,2 - 4 years,PhD,Non profit Organization,68730.0
