,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed
52,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
53,0,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
54,1,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
55,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,well payed
56,0,5-7 years,5-7 years,PhD,Woman,Public & Government,well payed
57,3,11 - 20 years,5-7 years,College degree,Woman,Consulting,well payed
58,1,8 - 10 years,2 - 4 years,Some college,Woman,Law,bad payed
59,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
60,1,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
61,0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
63,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
64,1,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
65,0,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,well payed
66,0,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
67,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,bad payed
68,1,5-7 years,5-7 years,College degree,Woman,Technology & Science,bad payed
69,1,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
70,0,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,well payed
71,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,very well payed
72,0,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
73,1,5-7 years,5-7 years,Some college,Woman,Industry,bad payed
74,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
75,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
76,0,11 - 20 years,11 - 20 years,PhD,Woman,Education,well payed
77,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
78,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
79,4,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,very well payed
80,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
81,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
82,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
83,3,11 - 20 years,8 - 10 years,College degree,Woman,Culture,well payed
84,3,8 - 10 years,5-7 years,College degree,Woman,Industry,well payed
85,0,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,well payed
86,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
87,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
88,1,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,bad payed
89,2,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,very well payed
91,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed
92,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
93,1,5-7 years,5-7 years,Some college,Man,Public & Government,bad payed
94,0,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,well payed
95,2,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,well payed
96,0,5-7 years,1 year or less,Master's degree,Woman,Education,well payed
97,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
98,2,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,well payed
99,1,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
100,1,2 - 4 years,2 - 4 years,College degree,Woman,Education,bad payed
101,1,8 - 10 years,5-7 years,College degree,Man,Public & Government,bad payed
102,0,31 - 40 years,21 - 30 years,Some college,Woman,Education,bad payed
104,1,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed
105,4,21 - 30 years,21 - 30 years,College degree,Woman,Industry,very well payed
106,3,5-7 years,5-7 years,College degree,Woman,Health,well payed
107,0,5-7 years,2 - 4 years,College degree,Woman,Education,very bad payed 
108,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed
109,3,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed
110,0,21 - 30 years,11 - 20 years,PhD,Man,Education,well payed
111,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed
112,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed
113,2,5-7 years,2 - 4 years,High School,Man,Technology & Science,well payed
114,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed
115,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,very well payed
116,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
117,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
118,0,2 - 4 years,2 - 4 years,PhD,Woman,Education,very well payed
119,4,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,very well payed
120,0,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed
121,3,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed
122,1,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
123,1,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed
124,0,5-7 years,5-7 years,PhD,Woman,Education,well payed
125,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
126,1,31 - 40 years,31 - 40 years,College degree,Woman,Other,bad payed
127,1,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed
128,1,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed
129,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed
130,1,5-7 years,5-7 years,College degree,Woman,Education,bad payed
131,2,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
132,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed
133,1,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,bad payed
134,3,5-7 years,5-7 years,College degree,Woman,Consulting,well payed
136,0,5-7 years,5-7 years,Master's degree,Woman,Culture,well payed
137,3,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed
138,0,11 - 20 years,8 - 10 years,Master's degree,Man,Other,well payed
139,1,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed
140,1,5-7 years,2 - 4 years,College degree,Non-binary,Health,bad payed
141,1,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,bad payed
142,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
143,1,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed
144,0,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,well payed
145,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed
147,1,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed
148,1,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed
149,0,2 - 4 years,1 year or less,Master's degree,Man,Other,bad payed
150,0,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed
151,2,21 - 30 years,8 - 10 years,College degree,Man,Other,very well payed
152,0,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,well payed
153,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
154,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed
155,1,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed
156,0,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,well payed
157,4,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,very well payed
158,4,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed
159,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,very bad payed 
160,0,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed
161,1,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
162,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
163,3,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed
164,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
165,2,5-7 years,2 - 4 years,College degree,Man,Industry,well payed
166,1,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed
167,3,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed
168,2,5-7 years,5-7 years,College degree,Man,Industry,well payed
169,0,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,well payed
170,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
171,4,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,very well payed
173,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed
174,4,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,very well payed
176,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
177,1,5-7 years,5-7 years,College degree,Woman,Education,bad payed
179,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed
180,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
181,3,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed
183,0,2 - 4 years,1 year or less,Master's degree,Woman,Health,well payed
184,4,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,very well payed
185,1,8 - 10 years,5-7 years,College degree,Man,Other,bad payed
186,4,11 - 20 years,11 - 20 years,PhD,Woman,Law,very well payed
188,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed
190,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
191,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed
192,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
193,1,5-7 years,5-7 years,College degree,Woman,Industry,bad payed
194,3,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed
195,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
196,3,8 - 10 years,5-7 years,College degree,Woman,Health,well payed
197,3,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed
198,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed
199,0,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed
200,0,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,well payed
201,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
202,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed
203,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed
204,4,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed
205,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed
206,3,11 - 20 years,5-7 years,College degree,Woman,Health,well payed
208,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,very well payed
209,1,11 - 20 years,5-7 years,Some college,Woman,Other,bad payed
210,0,31 - 40 years,31 - 40 years,Master's degree,Woman,Law,very well payed
211,1,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed
212,4,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed
213,1,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed
214,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,very well payed
215,3,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed
216,0,21 - 30 years,11 - 20 years,Master's degree,Man,Education,well payed
217,1,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
218,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed
220,1,5-7 years,5-7 years,College degree,Woman,Industry,very bad payed 
221,3,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed
222,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed
223,0,11 - 20 years,5-7 years,Master's degree,Woman,Health,bad payed
224,1,5-7 years,5-7 years,College degree,Woman,Other,bad payed
225,1,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,bad payed
226,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
227,1,1 year or less,1 year or less,College degree,Woman,Consulting,bad payed
228,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
229,0,5-7 years,5-7 years,College degree,Non-binary,Education,well payed
230,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed
232,0,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed
233,2,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,very well payed
234,1,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed
235,3,5-7 years,5-7 years,College degree,Woman,Advertising,well payed
236,0,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed
237,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed
239,3,8 - 10 years,2 - 4 years,College degree,Woman,Other,well payed
240,0,5-7 years,5-7 years,Master's degree,Woman,Law,very well payed
242,4,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
243,1,8 - 10 years,2 - 4 years,College degree,Woman,Health,bad payed
244,0,1 year or less,1 year or less,Master's degree,Woman,Law,very well payed
245,1,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,bad payed
246,4,5-7 years,2 - 4 years,PhD,Woman,Health,very well payed
247,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
248,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,well payed
249,1,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,bad payed
250,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
251,0,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,very bad payed 
253,1,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed
254,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed
255,4,5-7 years,5-7 years,College degree,Woman,Advertising,very well payed
256,0,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed
257,3,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed
259,1,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,bad payed
260,1,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed
261,0,11 - 20 years,11 - 20 years,Some college,Man,Industry,well payed
262,2,21 - 30 years,11 - 20 years,High School,Non-binary,Technology & Science,very well payed
263,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed
264,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed
265,0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
266,4,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed
267,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
268,2,21 - 30 years,21 - 30 years,College degree,Man,Advertising,well payed
269,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed
270,0,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed
271,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed
272,0,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed
273,0,11 - 20 years,5-7 years,PhD,Woman,Public & Government,well payed
274,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed
275,0,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,well payed
276,0,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed
277,0,31 - 40 years,21 - 30 years,Some college,Woman,Other,well payed
278,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
279,0,5-7 years,5-7 years,Master's degree,Non-binary,Education,bad payed
281,0,21 - 30 years,21 - 30 years,High School,Woman,Industry,well payed
282,1,8 - 10 years,5-7 years,Some college,Woman,Industry,bad payed
283,1,21 - 30 years,21 - 30 years,College degree,Man,Industry,bad payed
284,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed
285,4,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,very well payed
287,3,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed
288,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed
289,2,5-7 years,5-7 years,College degree,Man,Banking & Insurance,very well payed
290,4,21 - 30 years,8 - 10 years,College degree,Woman,Health,very well payed
291,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed
292,4,8 - 10 years,5-7 years,College degree,Woman,Unidentified,very well payed
293,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,well payed
294,0,5-7 years,2 - 4 years,Master's degree,Man,Other,bad payed
295,0,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed
296,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
297,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,well payed
298,0,8 - 10 years,5-7 years,College degree,Woman,Education,well payed
299,0,11 - 20 years,5-7 years,Master's degree,Woman,Culture,well payed
300,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
301,0,5-7 years,2 - 4 years,College degree,Woman,Education,well payed
302,0,8 - 10 years,5-7 years,Some college,Woman,Public & Government,well payed
303,1,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,bad payed
304,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed
306,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed
308,3,5-7 years,1 year or less,College degree,Woman,Public & Government,well payed
310,3,21 - 30 years,11 - 20 years,College degree,Woman,Industry,well payed
311,0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,well payed
312,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,well payed
313,0,41 years or more,31 - 40 years,Master's degree,Woman,Health,well payed
314,3,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,well payed
316,1,5-7 years,2 - 4 years,College degree,Woman,Education,bad payed
317,2,21 - 30 years,21 - 30 years,Master's degree,Prefer not to answer,Technology & Science,very well payed
318,4,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,very well payed
319,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Culture,well payed
320,0,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,well payed
321,4,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed
322,2,21 - 30 years,21 - 30 years,College degree,Man,Industry,very well payed
323,0,2 - 4 years,2 - 4 years,PhD,Woman,Non profit Organization,well payed
324,1,11 - 20 years,5-7 years,College degree,Woman,Education,bad payed
325,1,11 - 20 years,2 - 4 years,Master's degree,Man,Non profit Organization,bad payed
326,1,8 - 10 years,2 - 4 years,Master's degree,Woman,Non profit Organization,bad payed
327,1,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,bad payed
328,0,8 - 10 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
329,1,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,bad payed
330,0,11 - 20 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,well payed
332,1,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
333,1,5-7 years,2 - 4 years,College degree,Woman,Health,bad payed
334,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
335,0,21 - 30 years,21 - 30 years,College degree,Woman,Education,well payed
336,1,8 - 10 years,5-7 years,College degree,Woman,Non profit Organization,well payed
337,0,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,bad payed
338,3,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,well payed
339,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,well payed
340,1,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed
341,3,5-7 years,1 year or less,College degree,Woman,Advertising,well payed
344,1,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,bad payed
346,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Culture,bad payed
347,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed
349,4,11 - 20 years,8 - 10 years,PhD,Woman,Technology & Science,very well payed
350,3,21 - 30 years,5-7 years,College degree,Woman,Advertising,well payed
351,1,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed
352,0,5-7 years,2 - 4 years,Master's degree,Prefer not to answer,Technology & Science,well payed
353,1,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed
354,3,5-7 years,5-7 years,College degree,Woman,Industry,well payed
355,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Public & Government,very well payed
356,3,21 - 30 years,11 - 20 years,College degree,Woman,Other,well payed
357,4,5-7 years,5-7 years,PhD,Woman,Health,very well payed
358,3,1 year or less,1 year or less,College degree,Woman,Technology & Science,well payed
359,2,31 - 40 years,31 - 40 years,College degree,Man,Banking & Insurance,very well payed
360,1,21 - 30 years,11 - 20 years,Some college,Woman,Unidentified,bad payed
361,1,5-7 years,5-7 years,College degree,Woman,Unidentified,bad payed
362,2,8 - 10 years,5-7 years,College degree,Man,Banking & Insurance,well payed
363,4,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed
364,1,11 - 20 years,11 - 20 years,College degree,Woman,Culture,bad payed
365,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,well payed
366,0,8 - 10 years,2 - 4 years,Master's degree,Man,Industry,well payed
367,0,21 - 30 years,8 - 10 years,Master's degree,Woman,Consulting,well payed
368,4,21 - 30 years,21 - 30 years,College degree,Woman,Technology & Science,very well payed
369,3,5-7 years,5-7 years,College degree,Woman,Other,well payed
370,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
371,0,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,well payed
372,1,8 - 10 years,8 - 10 years,College degree,Man,Non profit Organization,well payed
373,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
374,3,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,well payed
375,0,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed
376,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed
377,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
378,1,11 - 20 years,8 - 10 years,Some college,Woman,Public & Government,bad payed
379,3,8 - 10 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
380,2,21 - 30 years,11 - 20 years,College degree,Man,Technology & Science,very well payed
381,0,8 - 10 years,5-7 years,Master's degree,Woman,Consulting,very well payed
382,3,21 - 30 years,21 - 30 years,College degree,Woman,Health,well payed
383,1,8 - 10 years,5-7 years,Some college,Woman,Health,bad payed
384,1,11 - 20 years,5-7 years,Some college,Woman,Non profit Organization,bad payed
385,3,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,well payed
386,3,11 - 20 years,11 - 20 years,College degree,Woman,Other,well payed
387,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Health,bad payed
388,1,11 - 20 years,2 - 4 years,High School,Woman,Law,bad payed
389,1,2 - 4 years,1 year or less,College degree,Woman,Public & Government,bad payed
390,0,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,bad payed
391,1,5-7 years,5-7 years,College degree,Woman,Banking & Insurance,bad payed
392,1,5-7 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
393,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Education,bad payed
394,0,2 - 4 years,5-7 years,PhD,Woman,Education,well payed
395,1,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed
396,1,8 - 10 years,2 - 4 years,College degree,Woman,Banking & Insurance,bad payed
397,3,8 - 10 years,5-7 years,College degree,Woman,Law,well payed
398,3,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed
399,0,11 - 20 years,11 - 20 years,Some college,Woman,Banking & Insurance,well payed
400,0,8 - 10 years,8 - 10 years,Master's degree,Woman,Other,well payed
401,4,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,very well payed
