,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,industry,payed
138,3,11 - 20 years,8 - 10 years,Master's degree,Other,well payed
139,1,11 - 20 years,11 - 20 years,Some college,Non profit Organization,bad payed
140,4,5-7 years,2 - 4 years,College degree,Health,bad payed
141,3,11 - 20 years,8 - 10 years,Some college,Banking & Insurance,bad payed
142,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
143,1,11 - 20 years,11 - 20 years,College degree,Education,bad payed
144,3,8 - 10 years,2 - 4 years,Master's degree,Law,well payed
145,0,5-7 years,2 - 4 years,College degree,Non profit Organization,well payed
146,1,11 - 20 years,8 - 10 years,College degree,Human Ressources,well payed
147,4,8 - 10 years,5-7 years,College degree,Education,bad payed
148,1,11 - 20 years,8 - 10 years,College degree,Non profit Organization,well payed
149,4,2 - 4 years,1 year or less,Master's degree,Other,bad payed
150,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
151,1,21 - 30 years,8 - 10 years,College degree,Other,very well payed
152,3,31 - 40 years,31 - 40 years,High School,Banking & Insurance,well payed
153,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
154,0,21 - 30 years,11 - 20 years,Master's degree,Health,well payed
155,1,11 - 20 years,5-7 years,College degree,Culture,bad payed
156,0,2 - 4 years,1 year or less,Master's degree,Public & Government,well payed
157,1,11 - 20 years,11 - 20 years,PhD,Technology & Science,very well payed
158,2,11 - 20 years,5-7 years,College degree,Technology & Science,very well payed
159,4,2 - 4 years,2 - 4 years,Master's degree,Culture,very bad payed 
160,0,5-7 years,5-7 years,Master's degree,Banking & Insurance,bad payed
161,0,11 - 20 years,5-7 years,College degree,Non profit Organization,bad payed
162,0,5-7 years,5-7 years,College degree,Industry,well payed
163,1,11 - 20 years,11 - 20 years,College degree,Unidentified,well payed
164,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,well payed
165,0,5-7 years,2 - 4 years,College degree,Industry,well payed
166,1,11 - 20 years,11 - 20 years,College degree,Advertising,bad payed
167,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
168,0,5-7 years,5-7 years,College degree,Industry,well payed
169,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
170,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
171,1,21 - 30 years,11 - 20 years,Some college,Technology & Science,very well payed
172,2,11 - 20 years,8 - 10 years,Master's degree,Construction,bad payed
173,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,bad payed
174,3,8 - 10 years,8 - 10 years,College degree,Advertising,very well payed
175,4,2 - 4 years,2 - 4 years,College degree,Human Ressources,well payed
176,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
177,4,5-7 years,5-7 years,College degree,Education,bad payed
178,1,21 - 30 years,11 - 20 years,Some college,Construction,well payed
179,3,8 - 10 years,2 - 4 years,Master's degree,Advertising,bad payed
180,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
181,4,2 - 4 years,2 - 4 years,College degree,Advertising,well payed
182,1,11 - 20 years,1 year or less,College degree,Retail,bad payed
183,0,2 - 4 years,1 year or less,Master's degree,Health,well payed
184,1,11 - 20 years,11 - 20 years,College degree,Advertising,very well payed
185,4,8 - 10 years,5-7 years,College degree,Other,bad payed
186,1,11 - 20 years,11 - 20 years,PhD,Law,very well payed
187,3,8 - 10 years,8 - 10 years,College degree,Retail,well payed
188,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
189,1,11 - 20 years,8 - 10 years,Unknown,Education,well payed
190,0,5-7 years,5-7 years,Master's degree,Education,bad payed
191,0,2 - 4 years,2 - 4 years,Master's degree,Unidentified,well payed
192,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,well payed
193,0,5-7 years,5-7 years,College degree,Industry,bad payed
194,1,8 - 10 years,5-7 years,College degree,Technology & Science,well payed
195,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
196,0,8 - 10 years,5-7 years,College degree,Health,well payed
197,4,2 - 4 years,2 - 4 years,College degree,Public & Government,well payed
198,3,8 - 10 years,8 - 10 years,Master's degree,Industry,well payed
199,0,8 - 10 years,5-7 years,Master's degree,Non profit Organization,well payed
200,4,2 - 4 years,2 - 4 years,PhD,Education,well payed
201,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
202,0,11 - 20 years,11 - 20 years,Master's degree,Non profit Organization,well payed
203,4,8 - 10 years,2 - 4 years,Master's degree,Education,bad payed
204,2,11 - 20 years,11 - 20 years,Master's degree,Technology & Science,very well payed
205,1,11 - 20 years,11 - 20 years,Master's degree,Education,bad payed
206,1,11 - 20 years,5-7 years,College degree,Health,well payed
207,3,8 - 10 years,2 - 4 years,High School,Retail,well payed
208,2,11 - 20 years,2 - 4 years,Master's degree,Law,very well payed
209,2,11 - 20 years,5-7 years,Some college,Other,bad payed
210,2,31 - 40 years,31 - 40 years,Master's degree,Law,very well payed
211,4,5-7 years,2 - 4 years,College degree,Other,bad payed
212,1,11 - 20 years,11 - 20 years,College degree,Industry,very well payed
213,1,11 - 20 years,11 - 20 years,College degree,Law,bad payed
214,2,11 - 20 years,8 - 10 years,Master's degree,Banking & Insurance,very well payed
215,3,8 - 10 years,8 - 10 years,College degree,Advertising,well payed
216,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
217,4,5-7 years,2 - 4 years,College degree,Non profit Organization,bad payed
218,1,11 - 20 years,11 - 20 years,Master's degree,Health,well payed
219,1,11 - 20 years,2 - 4 years,College degree,Human Ressources,well payed
220,0,5-7 years,5-7 years,College degree,Industry,very bad payed 
221,3,8 - 10 years,8 - 10 years,College degree,Other,well payed
222,1,11 - 20 years,11 - 20 years,Master's degree,Education,well payed
223,2,11 - 20 years,5-7 years,Master's degree,Health,bad payed
224,0,5-7 years,5-7 years,College degree,Other,bad payed
225,4,5-7 years,2 - 4 years,College degree,Public & Government,bad payed
226,3,11 - 20 years,8 - 10 years,Master's degree,Public & Government,well payed
227,4,1 year or less,1 year or less,College degree,Consulting,bad payed
228,1,11 - 20 years,8 - 10 years,College degree,Other,well payed
229,0,5-7 years,5-7 years,College degree,Education,well payed
230,1,21 - 30 years,11 - 20 years,Master's degree,Technology & Science,well payed
231,4,8 - 10 years,2 - 4 years,College degree,Construction,bad payed
232,0,5-7 years,2 - 4 years,Master's degree,Health,well payed
233,1,21 - 30 years,21 - 30 years,College degree,Health,very well payed
234,4,11 - 20 years,2 - 4 years,Some college,Banking & Insurance,bad payed
235,0,5-7 years,5-7 years,College degree,Advertising,well payed
236,0,5-7 years,5-7 years,Master's degree,Industry,well payed
237,0,8 - 10 years,5-7 years,Master's degree,Education,bad payed
238,1,11 - 20 years,8 - 10 years,Unknown,Unidentified,bad payed
239,1,8 - 10 years,2 - 4 years,College degree,Other,well payed
240,0,5-7 years,5-7 years,Master's degree,Law,very well payed
241,4,5-7 years,2 - 4 years,College degree,Construction,bad payed
242,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
243,4,8 - 10 years,2 - 4 years,College degree,Health,bad payed
244,2,1 year or less,1 year or less,Master's degree,Law,very well payed
245,1,21 - 30 years,8 - 10 years,Some college,Technology & Science,bad payed
246,0,5-7 years,2 - 4 years,PhD,Health,very well payed
247,0,21 - 30 years,21 - 30 years,PhD,Education,well payed
248,3,8 - 10 years,2 - 4 years,Master's degree,Health,well payed
249,1,11 - 20 years,11 - 20 years,Some college,Public & Government,bad payed
250,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
251,4,2 - 4 years,2 - 4 years,Master's degree,Education,very bad payed 
252,1,31 - 40 years,31 - 40 years,College degree,Human Ressources,very well payed
253,4,8 - 10 years,8 - 10 years,College degree,Education,bad payed
254,3,8 - 10 years,8 - 10 years,Master's degree,Non profit Organization,well payed
255,0,5-7 years,5-7 years,College degree,Advertising,very well payed
256,0,8 - 10 years,5-7 years,Master's degree,Public & Government,well payed
257,0,5-7 years,5-7 years,College degree,Technology & Science,well payed
258,0,1 year or less,1 year or less,Some college,Agriculture & Food,very bad payed 
259,4,31 - 40 years,31 - 40 years,College degree,Advertising,bad payed
260,0,11 - 20 years,5-7 years,Master's degree,Non profit Organization,bad payed
261,1,11 - 20 years,11 - 20 years,Some college,Industry,well payed
262,1,21 - 30 years,11 - 20 years,High School,Technology & Science,very well payed
263,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,bad payed
264,0,2 - 4 years,2 - 4 years,Master's degree,Other,well payed
265,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
266,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,very well payed
267,0,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,well payed
268,1,21 - 30 years,21 - 30 years,College degree,Advertising,well payed
269,1,11 - 20 years,11 - 20 years,Master's degree,Banking & Insurance,well payed
270,0,11 - 20 years,5-7 years,Master's degree,Education,well payed
271,3,8 - 10 years,8 - 10 years,Master's degree,Industry,well payed
272,0,5-7 years,5-7 years,Master's degree,Education,bad payed
273,0,11 - 20 years,5-7 years,PhD,Public & Government,well payed
274,2,11 - 20 years,11 - 20 years,Master's degree,Industry,very well payed
275,3,21 - 30 years,21 - 30 years,Some college,Banking & Insurance,well payed
276,0,8 - 10 years,5-7 years,Master's degree,Education,well payed
277,0,31 - 40 years,21 - 30 years,Some college,Other,well payed
278,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
279,0,5-7 years,5-7 years,Master's degree,Education,bad payed
280,3,8 - 10 years,8 - 10 years,Some college,Construction,well payed
281,0,21 - 30 years,21 - 30 years,High School,Industry,well payed
282,0,8 - 10 years,5-7 years,Some college,Industry,bad payed
283,4,21 - 30 years,21 - 30 years,College degree,Industry,bad payed
284,2,21 - 30 years,11 - 20 years,Master's degree,Consulting,very well payed
285,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
286,0,21 - 30 years,21 - 30 years,PhD,Ecology & Environment,well payed
287,4,2 - 4 years,2 - 4 years,College degree,Banking & Insurance,well payed
288,1,11 - 20 years,11 - 20 years,Master's degree,Industry,well payed
289,0,5-7 years,5-7 years,College degree,Banking & Insurance,very well payed
290,1,21 - 30 years,8 - 10 years,College degree,Health,very well payed
291,1,11 - 20 years,11 - 20 years,Master's degree,Public & Government,well payed
292,2,8 - 10 years,5-7 years,College degree,Unidentified,very well payed
293,1,11 - 20 years,11 - 20 years,Master's degree,Other,well payed
294,0,5-7 years,2 - 4 years,Master's degree,Other,bad payed
295,0,5-7 years,5-7 years,Master's degree,Public & Government,well payed
296,0,21 - 30 years,21 - 30 years,PhD,Education,well payed
297,0,21 - 30 years,21 - 30 years,Master's degree,Unidentified,well payed
298,0,8 - 10 years,5-7 years,College degree,Education,well payed
299,0,11 - 20 years,5-7 years,Master's degree,Culture,well payed
300,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
301,4,5-7 years,2 - 4 years,College degree,Education,well payed
302,0,8 - 10 years,5-7 years,Some college,Public & Government,well payed
303,4,1 year or less,1 year or less,College degree,Banking & Insurance,bad payed
304,3,8 - 10 years,8 - 10 years,Master's degree,Public & Government,well payed
305,0,5-7 years,5-7 years,College degree,Human Ressources,well payed
306,4,2 - 4 years,2 - 4 years,Master's degree,Industry,bad payed
307,2,11 - 20 years,5-7 years,Master's degree,Agriculture & Food,very bad payed 
308,0,5-7 years,1 year or less,College degree,Public & Government,well payed
309,1,31 - 40 years,21 - 30 years,College degree,Construction,well payed
310,1,21 - 30 years,11 - 20 years,College degree,Industry,well payed
311,0,5-7 years,2 - 4 years,Master's degree,Public & Government,well payed
312,0,2 - 4 years,2 - 4 years,Master's degree,Law,well payed
313,0,41 years or more,31 - 40 years,Master's degree,Health,well payed
314,1,21 - 30 years,11 - 20 years,College degree,Banking & Insurance,well payed
315,1,11 - 20 years,11 - 20 years,Master's degree,Human Ressources,well payed
316,4,5-7 years,2 - 4 years,College degree,Education,bad payed
317,2,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,very well payed
318,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,very well payed
319,3,8 - 10 years,8 - 10 years,Master's degree,Culture,well payed
320,3,11 - 20 years,8 - 10 years,Master's degree,Education,well payed
321,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,very well payed
322,1,21 - 30 years,21 - 30 years,College degree,Industry,very well payed
323,0,2 - 4 years,2 - 4 years,PhD,Non profit Organization,well payed
324,4,11 - 20 years,5-7 years,College degree,Education,bad payed
325,0,11 - 20 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
326,0,8 - 10 years,2 - 4 years,Master's degree,Non profit Organization,bad payed
327,3,8 - 10 years,8 - 10 years,College degree,Advertising,bad payed
328,3,8 - 10 years,2 - 4 years,Master's degree,Public & Government,bad payed
329,0,8 - 10 years,5-7 years,College degree,Non profit Organization,bad payed
330,3,11 - 20 years,2 - 4 years,Master's degree,Banking & Insurance,well payed
331,2,11 - 20 years,8 - 10 years,Master's degree,Social,bad payed
332,0,8 - 10 years,5-7 years,College degree,Non profit Organization,well payed
333,4,5-7 years,2 - 4 years,College degree,Health,bad payed
334,0,5-7 years,5-7 years,College degree,Industry,well payed
335,1,21 - 30 years,21 - 30 years,College degree,Education,well payed
336,0,8 - 10 years,5-7 years,College degree,Non profit Organization,well payed
337,4,2 - 4 years,2 - 4 years,Master's degree,Industry,bad payed
338,3,8 - 10 years,8 - 10 years,College degree,Public & Government,well payed
339,0,21 - 30 years,11 - 20 years,Master's degree,Education,well payed
340,1,11 - 20 years,11 - 20 years,College degree,Non profit Organization,well payed
341,0,5-7 years,1 year or less,College degree,Advertising,well payed
342,1,11 - 20 years,5-7 years,College degree,Agriculture & Food,well payed
343,1,11 - 20 years,11 - 20 years,College degree,Construction,well payed
344,3,8 - 10 years,8 - 10 years,College degree,Unidentified,bad payed
345,0,8 - 10 years,5-7 years,Master's degree,Social,well payed
346,1,11 - 20 years,11 - 20 years,Master's degree,Culture,bad payed
347,1,11 - 20 years,11 - 20 years,College degree,Education,well payed
348,3,21 - 30 years,8 - 10 years,High School,Construction,bad payed
349,2,11 - 20 years,8 - 10 years,PhD,Technology & Science,very well payed
350,0,21 - 30 years,5-7 years,College degree,Advertising,well payed
351,1,11 - 20 years,11 - 20 years,College degree,Unidentified,bad payed
352,0,5-7 years,2 - 4 years,Master's degree,Technology & Science,well payed
353,1,21 - 30 years,11 - 20 years,College degree,Health,bad payed
354,0,5-7 years,5-7 years,College degree,Industry,well payed
355,2,21 - 30 years,21 - 30 years,Master's degree,Public & Government,very well payed
356,1,21 - 30 years,11 - 20 years,College degree,Other,well payed
357,0,5-7 years,5-7 years,PhD,Health,very well payed
358,1,1 year or less,1 year or less,College degree,Technology & Science,well payed
359,1,31 - 40 years,31 - 40 years,College degree,Banking & Insurance,very well payed
360,1,21 - 30 years,11 - 20 years,Some college,Unidentified,bad payed
361,0,5-7 years,5-7 years,College degree,Unidentified,bad payed
362,3,8 - 10 years,5-7 years,College degree,Banking & Insurance,well payed
363,3,8 - 10 years,8 - 10 years,College degree,Banking & Insurance,very well payed
364,1,11 - 20 years,11 - 20 years,College degree,Culture,bad payed
365,3,8 - 10 years,8 - 10 years,Master's degree,Education,well payed
366,3,8 - 10 years,2 - 4 years,Master's degree,Industry,well payed
367,3,21 - 30 years,8 - 10 years,Master's degree,Consulting,well payed
368,1,21 - 30 years,21 - 30 years,College degree,Technology & Science,very well payed
369,0,5-7 years,5-7 years,College degree,Other,well payed
370,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
371,0,5-7 years,2 - 4 years,Master's degree,Consulting,well payed
372,3,8 - 10 years,8 - 10 years,College degree,Non profit Organization,well payed
373,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
374,1,11 - 20 years,11 - 20 years,College degree,Technology & Science,well payed
375,0,21 - 30 years,21 - 30 years,PhD,Education,well payed
376,0,21 - 30 years,21 - 30 years,Master's degree,Technology & Science,well payed
377,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
378,1,11 - 20 years,8 - 10 years,Some college,Public & Government,bad payed
379,1,8 - 10 years,8 - 10 years,College degree,Technology & Science,well payed
380,1,21 - 30 years,11 - 20 years,College degree,Technology & Science,very well payed
381,2,8 - 10 years,5-7 years,Master's degree,Consulting,very well payed
382,1,21 - 30 years,21 - 30 years,College degree,Health,well payed
383,0,8 - 10 years,5-7 years,Some college,Health,bad payed
384,0,11 - 20 years,5-7 years,Some college,Non profit Organization,bad payed
385,1,11 - 20 years,8 - 10 years,College degree,Technology & Science,well payed
386,1,11 - 20 years,11 - 20 years,College degree,Other,well payed
387,3,8 - 10 years,8 - 10 years,Master's degree,Health,bad payed
388,4,11 - 20 years,2 - 4 years,High School,Law,bad payed
389,4,2 - 4 years,1 year or less,College degree,Public & Government,bad payed
390,0,5-7 years,2 - 4 years,Master's degree,Public & Government,bad payed
391,0,5-7 years,5-7 years,College degree,Banking & Insurance,bad payed
392,4,5-7 years,2 - 4 years,College degree,Banking & Insurance,bad payed
393,3,8 - 10 years,8 - 10 years,Master's degree,Education,bad payed
394,0,2 - 4 years,5-7 years,PhD,Education,well payed
395,4,2 - 4 years,2 - 4 years,College degree,Non profit Organization,bad payed
396,4,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,bad payed
397,0,8 - 10 years,5-7 years,College degree,Law,well payed
398,1,11 - 20 years,8 - 10 years,College degree,Other,well payed
399,1,11 - 20 years,11 - 20 years,Some college,Banking & Insurance,well payed
400,3,8 - 10 years,8 - 10 years,Master's degree,Other,well payed
401,3,8 - 10 years,8 - 10 years,College degree,Public & Government,very well payed
402,0,5-7 years,5-7 years,Master's degree,Consulting,well payed
403,2,11 - 20 years,5-7 years,Master's degree,Other,bad payed
404,1,11 - 20 years,11 - 20 years,PhD,Health,very well payed
405,3,8 - 10 years,8 - 10 years,PhD,Industry,well payed
406,2,11 - 20 years,5-7 years,High School,Construction,bad payed
407,3,8 - 10 years,2 - 4 years,College degree,Banking & Insurance,very well payed
408,2,8 - 10 years,5-7 years,College degree,Technology & Science,very well payed
409,0,21 - 30 years,5-7 years,Master's degree,Unidentified,well payed
410,0,5-7 years,5-7 years,College degree,Consulting,bad payed
411,4,2 - 4 years,2 - 4 years,College degree,Security & Defense,bad payed
412,4,11 - 20 years,2 - 4 years,College degree,Other,bad payed
413,1,21 - 30 years,11 - 20 years,Some college,Culture,bad payed
