,cluster,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry,payed,adjusted_annual_salary,harmonized_salary
101,3,8 - 10 years,5-7 years,College degree,Man,Public & Government,bad payed,0.8528359208053345,53000.0
102,1,31 - 40 years,21 - 30 years,Some college,Woman,Education,bad payed,0.7603917252387941,47255.0
104,0,21 - 30 years,11 - 20 years,College degree,Woman,Health,bad payed,0.5529112278262661,34361.0
105,0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,very well payed,2.7355114440925825,150000.0
106,0,5-7 years,5-7 years,College degree,Woman,Health,well payed,1.2068432841584924,75000.0
107,0,5-7 years,2 - 4 years,College degree,Woman,Education,very bad payed ,0.321824875775598,20000.0
108,0,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,well payed,1.984098632887928,107220.0
109,0,11 - 20 years,5-7 years,College degree,Woman,Public & Government,well payed,1.4679817038307603,61620.0
110,4,21 - 30 years,11 - 20 years,PhD,Man,Education,well payed,1.6895805978218892,95000.0
111,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,bad payed,0.6758322391287557,42000.0
112,1,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,well payed,1.6895805978218892,100000.0
113,3,5-7 years,2 - 4 years,High School,Man,Technology & Science,well payed,1.6423700181442784,63000.0
114,0,11 - 20 years,8 - 10 years,College degree,Woman,Education,well payed,1.955086120336757,119000.0
115,1,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,very well payed,2.298275250787295,83160.0
116,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.354484441732764,63600.0
117,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,1.2068432841584924,75000.0
118,4,2 - 4 years,2 - 4 years,PhD,Woman,Education,very well payed,2.574599006204784,145000.0
119,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,very well payed,2.0261578044596917,75050.0
120,1,5-7 years,5-7 years,Master's degree,Woman,Advertising,bad payed,0.8045621894389949,48000.0
121,2,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,well payed,1.3677557220462913,75000.0
122,0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,bad payed,0.6758322391287557,42000.0
123,1,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,bad payed,0.8705362889729925,54000.0
124,4,5-7 years,5-7 years,PhD,Woman,Education,well payed,1.7314655993901278,72680.0
125,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,1.6709472564599888,64096.2
126,0,31 - 40 years,31 - 40 years,College degree,Woman,Other,bad payed,0.973520249221184,60000.0
127,0,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,well payed,1.6332612445611596,101500.0
128,0,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,bad payed,0.595907031229886,36883.0
129,0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,1.3677557220462913,85000.0
130,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed,0.9976571149043536,62000.0
131,3,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,very well payed,2.0918616925413867,130000.0
132,1,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,bad payed,0.8850184083828944,55000.0
133,0,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,bad payed,0.9496247521948455,59015.0
134,0,5-7 years,5-7 years,College degree,Woman,Consulting,well payed,1.1907520403697125,71000.0
136,1,5-7 years,5-7 years,Master's degree,Woman,Culture,well payed,1.0137483586931335,63000.0
137,0,21 - 30 years,21 - 30 years,College degree,Woman,Industry,well payed,1.60912437887799,95000.0
138,1,11 - 20 years,8 - 10 years,Master's degree,Man,Other,well payed,1.167212074794408,60350.0
139,0,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,bad payed,0.6114672639736362,35000.0
140,0,5-7 years,2 - 4 years,College degree,Non-binary,Health,bad payed,0.5435622151849849,33280.0
141,2,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,bad payed,0.941337761643624,56000.0
142,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,1.3677557220462913,85000.0
143,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,bad payed,0.9976571149043536,62000.0
144,1,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,well payed,1.1907520403697125,74000.0
145,0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,well payed,1.0298396024819134,63000.0
147,0,8 - 10 years,5-7 years,College degree,Woman,Education,bad payed,0.7241756239752232,19080.0
148,0,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,well payed,1.4803944285677506,86000.0
149,1,2 - 4 years,1 year or less,Master's degree,Man,Other,bad payed,0.6241006068948258,23940.0
150,1,11 - 20 years,11 - 20 years,Master's degree,Man,Education,bad payed,0.6758322391287557,42000.0
151,3,21 - 30 years,8 - 10 years,College degree,Man,Other,very well payed,2.3171391055843054,114000.0
152,2,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,well payed,1.1746607965809326,73000.0
153,0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,1.7737596195958207,68040.0
154,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,well payed,1.60912437887799,100000.0
155,0,11 - 20 years,5-7 years,College degree,Woman,Culture,bad payed,0.8868798097979104,34020.0
156,1,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,well payed,1.015824129141886,60129.0
157,0,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,very well payed,2.1723179114852864,135000.0
158,0,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,very well payed,2.0918616925413867,130000.0
159,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,very bad payed ,0.4183723385082773,26000.0
160,1,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,bad payed,0.965474627326794,60000.0
161,0,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,bad payed,0.5953760201848562,37000.0
162,0,5-7 years,5-7 years,College degree,Woman,Industry,well payed,1.416029453412631,85000.0
163,0,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,well payed,1.045930846270693,45000.0
164,1,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,1.4803944285677506,92000.0
165,3,5-7 years,2 - 4 years,College degree,Man,Industry,well payed,1.110295821425813,65000.0
166,0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,bad payed,0.5631935326072964,35000.0
167,2,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,well payed,1.2068432841584924,74000.0
168,3,5-7 years,5-7 years,College degree,Man,Industry,well payed,1.9711773641255372,102500.0
169,1,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,well payed,1.914858010864808,117500.0
170,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,1.1263870652145929,70000.0
171,0,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,very well payed,2.333230349373085,140000.0
173,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,bad payed,0.9847841198733296,61200.0
174,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,very well payed,3.0527226845189683,107100.0
176,0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.1263870652145929,70000.0
177,0,5-7 years,5-7 years,College degree,Woman,Education,bad payed,0.8367446770165546,52000.0
179,1,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,bad payed,0.9172008959604542,57000.0
180,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.3387914832264876,83200.0
181,0,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,well payed,1.247071393630442,77500.0
183,1,2 - 4 years,1 year or less,Master's degree,Woman,Health,well payed,1.0443387766168222,39060.0
184,0,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,very well payed,3.620529852475477,215000.0
185,3,8 - 10 years,5-7 years,College degree,Man,Other,bad payed,0.925246517854844,55000.0
186,4,11 - 20 years,11 - 20 years,PhD,Woman,Law,very well payed,3.540073633531577,220000.0
188,0,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,well payed,1.287299503102392,80000.0
190,1,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,0.8447902989109446,52500.0
191,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,well payed,1.003787878787879,38160.0
192,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,1.5125769161453104,94000.0
193,0,5-7 years,5-7 years,College degree,Woman,Industry,bad payed,0.9172008959604542,57000.0
194,0,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.4643031847789707,83000.0
195,0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,1.4482119409901908,90000.0
196,0,8 - 10 years,5-7 years,College degree,Woman,Health,well payed,1.077308771658814,66950.0
197,0,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,well payed,1.2229345279472723,76000.0
198,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,1.8644810110742664,65520.0
199,1,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,well payed,1.2068432841584924,70000.0
200,4,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,well payed,1.0057027367987437,60000.0
201,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.287299503102392,80000.0
202,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,well payed,1.1263870652145929,70000.0
203,1,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,bad payed,0.5519135707113617,34299.0
204,0,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,very well payed,2.956266032659701,113400.0
205,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,bad payed,0.8045621894389949,50000.0
206,0,11 - 20 years,5-7 years,College degree,Woman,Health,well payed,1.3677557220462913,85000.0
208,1,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,very well payed,2.011405473597488,125000.0
209,0,11 - 20 years,5-7 years,Some college,Woman,Other,bad payed,0.965474627326794,55000.0
210,1,31 - 40 years,31 - 40 years,Master's degree,Woman,Law,very well payed,4.425092041914472,275000.0
211,0,5-7 years,2 - 4 years,College degree,Woman,Other,bad payed,0.7804253237558251,48500.0
212,0,11 - 20 years,11 - 20 years,College degree,Woman,Industry,very well payed,2.381504080739425,139000.0
213,0,11 - 20 years,11 - 20 years,College degree,Woman,Law,bad payed,0.8782600859916069,54080.0
214,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,very well payed,3.21824875775598,170000.0
215,0,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,well payed,1.1292166952544311,47400.0
216,1,21 - 30 years,11 - 20 years,Master's degree,Man,Education,well payed,1.1424783090033728,70000.0
217,0,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,bad payed,0.8528359208053345,53000.0
218,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,well payed,1.3220565896861565,82160.0
220,0,5-7 years,5-7 years,College degree,Woman,Industry,very bad payed ,0.4135449653716433,25700.0
221,0,8 - 10 years,8 - 10 years,College degree,Woman,Other,well payed,1.6895805978218892,105000.0
222,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,well payed,1.2390257717360522,77000.0
223,1,11 - 20 years,5-7 years,Master's degree,Woman,Health,bad payed,0.8045621894389949,50000.0
224,0,5-7 years,5-7 years,College degree,Woman,Other,bad payed,0.8283128949508853,31773.42
225,0,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,bad payed,0.5087407636260652,31616.0
226,1,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,well payed,1.56085064751165,95000.0
227,0,1 year or less,1 year or less,College degree,Woman,Consulting,bad payed,0.9976571149043536,62000.0
228,0,11 - 20 years,8 - 10 years,College degree,Woman,Other,well payed,1.3275276125743416,75000.0
229,0,5-7 years,5-7 years,College degree,Non-binary,Education,well payed,1.1424783090033728,71000.0
230,0,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,well payed,1.416029453412631,88000.0
232,1,5-7 years,2 - 4 years,Master's degree,Woman,Health,well payed,1.2229345279472723,76000.0
233,0,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,very well payed,3.13779253881208,165000.0
234,2,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,bad payed,0.7363353157745681,45760.0
235,0,5-7 years,5-7 years,College degree,Woman,Advertising,well payed,1.3838469658350712,86000.0
236,1,5-7 years,5-7 years,Master's degree,Woman,Industry,well payed,1.4724985706117784,61809.600000000006
237,1,8 - 10 years,5-7 years,Master's degree,Woman,Education,bad payed,0.9011096521716744,56000.0
239,0,8 - 10 years,2 - 4 years,College degree,Woman,Other,well payed,1.110295821425813,67000.0
240,1,5-7 years,5-7 years,Master's degree,Woman,Law,very well payed,2.011405473597488,125000.0
242,0,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,very well payed,2.8159676630364823,125000.0
243,0,8 - 10 years,2 - 4 years,College degree,Woman,Health,bad payed,0.965474627326794,60000.0
244,1,1 year or less,1 year or less,Master's degree,Woman,Law,very well payed,3.0573363198681807,190000.0
245,0,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,bad payed,0.9706238253392034,60320.0
246,4,5-7 years,2 - 4 years,PhD,Woman,Health,very well payed,2.31311629463711,125000.0
247,4,21 - 30 years,21 - 30 years,PhD,Woman,Education,well payed,1.5125769161453104,94000.0
248,1,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,well payed,1.8443872689155707,77420.0
249,0,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,bad payed,0.788470945650215,49000.0
250,0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,well payed,1.930949254653588,120000.0
251,1,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,very bad payed ,0.4505548260858371,28000.0
253,0,8 - 10 years,8 - 10 years,College degree,Woman,Education,bad payed,0.6529022167297444,40575.0
254,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,well payed,1.2148889060528822,75500.0
255,0,5-7 years,5-7 years,College degree,Woman,Advertising,very well payed,2.043587961175047,115000.0
256,1,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,well payed,1.1263870652145929,70000.0
257,0,5-7 years,5-7 years,College degree,Woman,Technology & Science,well payed,1.7925645580700806,110000.0
259,0,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,bad payed,0.9815658711155738,61000.0
260,1,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,bad payed,0.7603112690198501,47250.0
261,3,11 - 20 years,11 - 20 years,Some college,Man,Industry,well payed,1.60912437887799,96000.0
262,0,21 - 30 years,11 - 20 years,High School,Non-binary,Technology & Science,very well payed,6.02910420987233,275600.0
263,0,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,bad payed,0.7241059704950954,45000.0
264,1,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,well payed,1.158569552792153,72000.0
265,1,5-7 years,5-7 years,Master's degree,Woman,Public & Government,well payed,1.2578042532375582,78167.0
266,2,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,very well payed,3.017108210396231,132500.0
267,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,well payed,1.9953142298087077,124000.0
268,3,21 - 30 years,21 - 30 years,College degree,Man,Advertising,well payed,1.737854329188229,108000.0
269,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,well payed,1.8504930357096885,110000.0
270,1,11 - 20 years,5-7 years,Master's degree,Woman,Education,well payed,1.3355732344687314,83000.0
271,1,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,well payed,1.9953142298087077,110000.0
272,1,5-7 years,5-7 years,Master's degree,Woman,Education,bad payed,0.7241059704950954,45000.0
273,4,11 - 20 years,5-7 years,PhD,Woman,Public & Government,well payed,1.4964856723565303,91000.0
274,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,very well payed,2.165076851780335,117000.0
275,2,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,well payed,1.0620220900594732,59000.0
276,1,8 - 10 years,5-7 years,Master's degree,Woman,Education,well payed,1.1536939059241524,71697.0
277,0,31 - 40 years,21 - 30 years,Some college,Woman,Other,well payed,1.59303313508921,90000.0
278,0,11 - 20 years,11 - 20 years,College degree,Woman,Education,well payed,1.930949254653588,120000.0
279,1,5-7 years,5-7 years,Master's degree,Non-binary,Education,bad payed,0.8367446770165546,52000.0
281,0,21 - 30 years,21 - 30 years,High School,Woman,Industry,well payed,1.3677557220462913,80000.0
282,0,8 - 10 years,5-7 years,Some college,Woman,Industry,bad payed,0.9011096521716744,56000.0
283,3,21 - 30 years,21 - 30 years,College degree,Man,Industry,bad payed,0.8019875904327901,47840.0
284,1,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,very well payed,2.7355114440925825,150000.0
285,0,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,very well payed,2.413686568316985,150000.0
287,2,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,well payed,1.6895805978218892,100000.0
288,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,well payed,1.6976262197162792,97500.0
289,2,5-7 years,5-7 years,College degree,Man,Banking & Insurance,very well payed,2.413686568316985,100000.0
290,0,21 - 30 years,8 - 10 years,College degree,Woman,Health,very well payed,2.011405473597488,125000.0
291,1,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,well payed,1.0137483586931335,63000.0
292,0,8 - 10 years,5-7 years,College degree,Woman,Unidentified,very well payed,2.9458382865127533,63000.0
