,harmonized_salary,how_old_are_you,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,industry cluster tf_idf_bigrams,category_salary,cluster
38,78000.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,medium,0
39,37000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,low,2
40,100000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,high,1
41,44100.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,low,2
42,65000.0,25-34,5-7 years,5-7 years,College degree,Man,Public & Government,medium,0
43,187500.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,high,1
44,110000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Man,Technology & Science,high,1
45,66625.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Non profit Organization,medium,0
46,144600.0,35-44,5-7 years,5-7 years,PhD,Woman,Technology & Science,high,1
47,200850.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
48,94800.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Industry,high,1
49,77025.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Retail,medium,2
50,96000.0,35-44,5-7 years,5-7 years,PhD,Woman,Education,high,2
51,53000.0,25-34,5-7 years,1 year or less,Master's degree,Woman,Education,low,2
52,95000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,high,0
53,72000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Technology & Science,medium,1
54,41080.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,low,2
55,106000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Industry,high,1
56,115000.0,25-34,5-7 years,5-7 years,PhD,Woman,Public & Government,high,0
57,100500.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Consulting,high,0
58,33200.0,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Law,low,0
59,65520.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
60,52000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Education,low,2
61,62410.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,medium,0
62,104000.0,65 or over,41 years or more,21 - 30 years,College degree,Man,Construction,high,1
63,59250.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,low,2
64,52000.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,low,2
65,70000.0,25-34,5-7 years,2 - 4 years,Master's degree,Non-binary,Education,medium,2
66,84000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Non profit Organization,medium,0
67,53000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,low,0
68,34000.0,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,low,2
69,38000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Non profit Organization,low,2
70,87000.0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Public & Government,medium,0
71,122000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,high,1
72,56700.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Banking & Insurance,low,2
73,45000.0,25-34,5-7 years,5-7 years,Some college,Woman,Industry,low,2
74,88000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Technology & Science,medium,1
75,71000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
76,71000.0,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Education,medium,2
77,75000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
78,80000.0,35-44,21 - 30 years,11 - 20 years,Master's degree,Woman,Education,medium,2
79,125000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Technology & Science,high,1
80,65000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
81,45360.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Education,low,2
82,55000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
83,90000.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Culture,medium,2
84,105000.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Industry,high,1
85,47400.0,35-44,11 - 20 years,11 - 20 years,High School,Man,Non profit Organization,low,2
86,65000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Education,medium,2
87,85000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Consulting,medium,0
88,39520.0,25-34,8 - 10 years,2 - 4 years,Some college,Woman,Unidentified,low,2
89,90850.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Man,Technology & Science,medium,1
90,76000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Energy,medium,0
91,180000.0,55-64,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,high,0
92,90000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,medium,0
93,24318.0,25-34,5-7 years,5-7 years,Some college,Man,Public & Government,low,0
94,65000.0,55-64,31 - 40 years,11 - 20 years,Master's degree,Woman,Consulting,medium,0
95,98166.0,45-54,21 - 30 years,21 - 30 years,College degree,Man,Technology & Science,high,1
96,63500.0,25-34,5-7 years,1 year or less,Master's degree,Woman,Education,medium,2
97,47700.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
98,87000.0,55-64,31 - 40 years,31 - 40 years,Some college,Man,Technology & Science,medium,1
99,37920.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Unidentified,low,2
100,39635.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Education,low,2
101,53000.0,25-34,8 - 10 years,5-7 years,College degree,Man,Public & Government,low,0
102,47255.0,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Education,low,2
103,196000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Construction,high,1
104,34361.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Health,low,0
105,150000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Industry,high,1
106,75000.0,25-34,5-7 years,5-7 years,College degree,Woman,Health,medium,0
107,20000.0,35-44,5-7 years,2 - 4 years,College degree,Woman,Education,low,2
108,107220.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Technology & Science,high,1
109,61620.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Public & Government,medium,0
110,95000.0,45-54,21 - 30 years,11 - 20 years,PhD,Man,Education,high,1
111,42000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Unidentified,low,2
112,100000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,high,1
113,63000.0,25-34,5-7 years,2 - 4 years,High School,Man,Technology & Science,medium,1
114,119000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Education,high,2
115,83160.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Banking & Insurance,medium,0
116,63600.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,medium,0
117,75000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Education,medium,2
118,145000.0,35-44,2 - 4 years,2 - 4 years,PhD,Woman,Education,high,2
119,75050.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,medium,0
120,48000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Advertising,low,2
121,75000.0,45-54,21 - 30 years,21 - 30 years,College degree,Woman,Banking & Insurance,medium,0
122,42000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,low,2
123,54000.0,35-44,21 - 30 years,8 - 10 years,Master's degree,Woman,Non profit Organization,low,2
124,72680.0,35-44,5-7 years,5-7 years,PhD,Woman,Education,medium,2
125,64096.2,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
126,60000.0,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Other,low,2
127,101500.0,55-64,31 - 40 years,21 - 30 years,College degree,Woman,Non profit Organization,high,0
128,36883.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Technology & Science,low,2
129,85000.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,medium,0
130,62000.0,25-34,5-7 years,5-7 years,College degree,Woman,Education,medium,2
131,130000.0,35-44,11 - 20 years,11 - 20 years,College degree,Man,Technology & Science,high,1
132,55000.0,55-64,21 - 30 years,21 - 30 years,Master's degree,Woman,Education,low,2
133,59015.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Public & Government,low,0
134,71000.0,25-34,5-7 years,5-7 years,College degree,Woman,Consulting,medium,0
135,53000.0,45-54,21 - 30 years,8 - 10 years,Master's degree,Woman,Social,low,2
136,63000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Culture,medium,2
137,95000.0,35-44,21 - 30 years,21 - 30 years,College degree,Woman,Industry,high,1
138,60350.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Man,Other,medium,1
139,35000.0,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Non profit Organization,low,2
140,33280.0,18-24,5-7 years,2 - 4 years,College degree,Non-binary,Health,low,2
141,56000.0,35-44,11 - 20 years,8 - 10 years,Some college,Woman,Banking & Insurance,low,2
142,85000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,medium,2
143,62000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,medium,2
144,74000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Non-binary,Law,medium,0
145,63000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,medium,0
146,56700.0,25-34,11 - 20 years,8 - 10 years,College degree,Woman,Human Ressources,low,0
147,19080.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,low,2
148,86000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Non profit Organization,medium,0
149,23940.0,18-24,2 - 4 years,1 year or less,Master's degree,Man,Other,low,2
150,42000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Man,Education,low,2
151,114000.0,55-64,21 - 30 years,8 - 10 years,College degree,Man,Other,high,1
152,73000.0,45-54,31 - 40 years,31 - 40 years,High School,Woman,Banking & Insurance,medium,0
153,68040.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
154,100000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Health,high,0
155,34020.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Culture,low,2
156,60129.0,18-24,2 - 4 years,1 year or less,Master's degree,Woman,Public & Government,medium,0
157,135000.0,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Technology & Science,high,1
158,130000.0,25-34,11 - 20 years,5-7 years,College degree,Woman,Technology & Science,high,1
159,26000.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Culture,low,2
160,60000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Banking & Insurance,low,2
161,37000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Non profit Organization,low,2
162,85000.0,25-34,5-7 years,5-7 years,College degree,Woman,Industry,medium,0
163,45000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Unidentified,low,2
164,92000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,medium,0
165,65000.0,25-34,5-7 years,2 - 4 years,College degree,Man,Industry,medium,1
166,35000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,low,2
167,74000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Banking & Insurance,medium,0
168,102500.0,25-34,5-7 years,5-7 years,College degree,Man,Industry,high,1
169,117500.0,25-34,8 - 10 years,5-7 years,Master's degree,Prefer not to answer,Public & Government,high,0
170,70000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
171,140000.0,45-54,21 - 30 years,11 - 20 years,Some college,Woman,Technology & Science,high,1
172,58000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Construction,low,2
173,61200.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
174,107100.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,high,0
175,66000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Human Ressources,medium,0
176,70000.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,medium,1
177,52000.0,25-34,5-7 years,5-7 years,College degree,Woman,Education,low,2
178,75500.0,45-54,21 - 30 years,11 - 20 years,Some college,Woman,Construction,medium,2
179,57000.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Advertising,low,2
180,83200.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
181,77500.0,18-24,2 - 4 years,2 - 4 years,College degree,Woman,Advertising,medium,0
182,31200.0,35-44,11 - 20 years,1 year or less,College degree,Woman,Retail,low,2
183,39060.0,25-34,2 - 4 years,1 year or less,Master's degree,Woman,Health,low,0
184,215000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Advertising,high,0
185,55000.0,25-34,8 - 10 years,5-7 years,College degree,Man,Other,low,2
186,220000.0,45-54,11 - 20 years,11 - 20 years,PhD,Woman,Law,high,0
187,100000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Retail,high,2
188,80000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Technology & Science,medium,1
190,52500.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
191,38160.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Unidentified,low,2
192,94000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,high,1
193,57000.0,25-34,5-7 years,5-7 years,College degree,Woman,Industry,low,2
194,83000.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Technology & Science,medium,1
195,90000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,medium,0
196,66950.0,35-44,8 - 10 years,5-7 years,College degree,Woman,Health,medium,0
197,76000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Public & Government,medium,0
198,65520.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,medium,0
199,70000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Non profit Organization,medium,0
200,60000.0,25-34,2 - 4 years,2 - 4 years,PhD,Non-binary,Education,low,2
201,80000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,medium,0
202,70000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Non profit Organization,medium,0
203,34299.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Education,low,2
204,113400.0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Technology & Science,high,1
205,50000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,low,2
206,85000.0,35-44,11 - 20 years,5-7 years,College degree,Woman,Health,medium,0
207,87000.0,35-44,8 - 10 years,2 - 4 years,High School,Woman,Retail,medium,2
208,125000.0,35-44,11 - 20 years,2 - 4 years,Master's degree,Woman,Law,high,0
209,55000.0,35-44,11 - 20 years,5-7 years,Some college,Woman,Other,low,2
210,275000.0,55-64,31 - 40 years,31 - 40 years,Master's degree,Woman,Law,high,0
211,48500.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Other,low,2
212,139000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Industry,high,1
213,54080.0,25-34,11 - 20 years,11 - 20 years,College degree,Woman,Law,low,0
214,170000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Banking & Insurance,high,1
215,47400.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Advertising,low,2
216,70000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Man,Education,medium,2
217,53000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Non profit Organization,low,2
218,82160.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Health,medium,0
219,71000.0,25-34,11 - 20 years,2 - 4 years,College degree,Woman,Human Ressources,medium,0
220,25700.0,18-24,5-7 years,5-7 years,College degree,Woman,Industry,low,2
221,105000.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Other,high,1
222,77000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Education,medium,2
223,50000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Health,low,0
224,31773.42,25-34,5-7 years,5-7 years,College degree,Woman,Other,low,2
225,31616.0,25-34,5-7 years,2 - 4 years,College degree,Non-binary,Public & Government,low,2
226,95000.0,35-44,11 - 20 years,8 - 10 years,Master's degree,Woman,Public & Government,high,0
227,62000.0,18-24,1 year or less,1 year or less,College degree,Woman,Consulting,medium,0
228,75000.0,35-44,11 - 20 years,8 - 10 years,College degree,Woman,Other,medium,2
229,71000.0,25-34,5-7 years,5-7 years,College degree,Non-binary,Education,medium,2
230,88000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Technology & Science,medium,1
231,31500.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Construction,low,2
232,76000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Health,medium,0
233,165000.0,35-44,21 - 30 years,21 - 30 years,College degree,Non-binary,Health,high,2
234,45760.0,25-34,11 - 20 years,2 - 4 years,Some college,Woman,Banking & Insurance,low,2
235,86000.0,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,medium,0
236,61809.600000000006,25-34,5-7 years,5-7 years,Master's degree,Woman,Industry,medium,0
237,56000.0,25-34,8 - 10 years,5-7 years,Master's degree,Woman,Education,low,2
239,67000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Other,medium,2
240,125000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Law,high,0
241,55000.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Construction,low,2
242,125000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
243,60000.0,25-34,8 - 10 years,2 - 4 years,College degree,Woman,Health,low,0
244,190000.0,25-34,1 year or less,1 year or less,Master's degree,Woman,Law,high,0
245,60320.0,45-54,21 - 30 years,8 - 10 years,Some college,Woman,Technology & Science,medium,1
246,125000.0,35-44,5-7 years,2 - 4 years,PhD,Woman,Health,high,0
247,94000.0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,high,2
248,77420.0,25-34,8 - 10 years,2 - 4 years,Master's degree,Woman,Health,medium,0
249,49000.0,35-44,11 - 20 years,11 - 20 years,Some college,Woman,Public & Government,low,0
250,120000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,high,0
251,28000.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Non-binary,Education,low,2
252,135000.0,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Human Ressources,high,0
253,40575.0,35-44,8 - 10 years,8 - 10 years,College degree,Woman,Education,low,2
254,75500.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Non profit Organization,medium,0
255,115000.0,25-34,5-7 years,5-7 years,College degree,Woman,Advertising,high,0
256,70000.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Public & Government,medium,0
257,110000.0,25-34,5-7 years,5-7 years,College degree,Woman,Technology & Science,high,1
258,29000.0,18-24,1 year or less,1 year or less,Some college,Woman,Agriculture & Food,low,2
259,61000.0,55-64,31 - 40 years,31 - 40 years,College degree,Woman,Advertising,medium,0
260,47250.0,55-64,11 - 20 years,5-7 years,Master's degree,Woman,Non profit Organization,low,2
261,96000.0,35-44,11 - 20 years,11 - 20 years,Some college,Man,Industry,high,1
262,275600.0,35-44,21 - 30 years,11 - 20 years,High School,Non-binary,Technology & Science,high,1
263,45000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Non profit Organization,low,2
264,72000.0,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Other,medium,2
265,78167.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,medium,0
266,132500.0,25-34,8 - 10 years,8 - 10 years,College degree,Woman,Banking & Insurance,high,1
267,124000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,high,1
268,108000.0,45-54,21 - 30 years,21 - 30 years,College degree,Man,Advertising,high,1
269,110000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Banking & Insurance,high,1
270,83000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Education,medium,2
271,110000.0,25-34,8 - 10 years,8 - 10 years,Master's degree,Woman,Industry,high,1
272,45000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Education,low,2
273,91000.0,25-34,11 - 20 years,5-7 years,PhD,Woman,Public & Government,medium,0
274,117000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,high,1
275,59000.0,45-54,21 - 30 years,21 - 30 years,Some college,Woman,Banking & Insurance,low,2
276,71697.0,35-44,8 - 10 years,5-7 years,Master's degree,Woman,Education,medium,2
277,90000.0,45-54,31 - 40 years,21 - 30 years,Some college,Woman,Other,medium,2
278,120000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Education,high,2
279,52000.0,25-34,5-7 years,5-7 years,Master's degree,Non-binary,Education,low,2
280,48585.0,25-34,8 - 10 years,8 - 10 years,Some college,Woman,Construction,low,2
281,80000.0,35-44,21 - 30 years,21 - 30 years,High School,Woman,Industry,medium,0
282,56000.0,25-34,8 - 10 years,5-7 years,Some college,Woman,Industry,low,2
283,47840.0,45-54,21 - 30 years,21 - 30 years,College degree,Man,Industry,low,1
284,150000.0,45-54,21 - 30 years,11 - 20 years,Master's degree,Woman,Consulting,high,0
285,150000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Technology & Science,high,1
286,105000.0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Ecology & Environment,high,2
287,100000.0,25-34,2 - 4 years,2 - 4 years,College degree,Woman,Banking & Insurance,high,1
288,97500.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Industry,high,1
289,100000.0,25-34,5-7 years,5-7 years,College degree,Man,Banking & Insurance,high,1
290,125000.0,45-54,21 - 30 years,8 - 10 years,College degree,Woman,Health,high,0
291,63000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Public & Government,medium,0
292,63000.0,25-34,8 - 10 years,5-7 years,College degree,Woman,Unidentified,medium,0
293,79000.0,35-44,11 - 20 years,11 - 20 years,Master's degree,Woman,Other,medium,2
294,52000.0,25-34,5-7 years,2 - 4 years,Master's degree,Man,Other,low,2
295,109000.0,25-34,5-7 years,5-7 years,Master's degree,Woman,Public & Government,high,0
296,68040.0,45-54,21 - 30 years,21 - 30 years,PhD,Woman,Education,medium,2
297,120000.0,45-54,21 - 30 years,21 - 30 years,Master's degree,Woman,Unidentified,high,0
298,51172.38,25-34,8 - 10 years,5-7 years,College degree,Woman,Education,low,2
299,70000.0,35-44,11 - 20 years,5-7 years,Master's degree,Woman,Culture,medium,2
300,110000.0,35-44,11 - 20 years,11 - 20 years,College degree,Woman,Technology & Science,high,1
301,45820.0,25-34,5-7 years,2 - 4 years,College degree,Woman,Education,low,2
302,45820.0,25-34,8 - 10 years,5-7 years,Some college,Woman,Public & Government,low,0
303,45000.0,18-24,1 year or less,1 year or less,College degree,Woman,Banking & Insurance,low,2
304,70000.0,35-44,8 - 10 years,8 - 10 years,Master's degree,Woman,Public & Government,medium,0
305,115000.0,25-34,5-7 years,5-7 years,College degree,Man,Human Ressources,high,1
306,34598.4,25-34,2 - 4 years,2 - 4 years,Master's degree,Woman,Industry,low,2
307,17000.0,35-44,11 - 20 years,5-7 years,Master's degree,Non-binary,Agriculture & Food,low,2
308,64000.0,25-34,5-7 years,1 year or less,College degree,Woman,Public & Government,medium,0
309,66000.0,55-64,31 - 40 years,21 - 30 years,College degree,Woman,Construction,medium,2
310,80000.0,45-54,21 - 30 years,11 - 20 years,College degree,Woman,Industry,medium,0
311,78000.0,25-34,5-7 years,2 - 4 years,Master's degree,Woman,Public & Government,medium,0
312,65000.0,18-24,2 - 4 years,2 - 4 years,Master's degree,Woman,Law,medium,0
313,110000.0,65 or over,41 years or more,31 - 40 years,Master's degree,Woman,Health,high,0
314,114400.0,35-44,21 - 30 years,11 - 20 years,College degree,Woman,Banking & Insurance,high,1
315,111500.0,25-34,11 - 20 years,11 - 20 years,Master's degree,Woman,Human Ressources,high,0
